# Obtained using Skycalc tool from ESO webpage
# Water vapour content 2.5 mm
Wave[nm] Transmission[no-units]
1550 0.728532
1550.02919 0.961454
1550.05839 0.990712
1550.08759 0.991679
1550.11678 0.991622
1550.14598 0.991476
1550.17518 0.991375
1550.20438 0.991539
1550.23357 0.991748
1550.26277 0.991836
1550.29197 0.991865
1550.32117 0.991876
1550.35037 0.991874
1550.37958 0.991866
1550.40878 0.99185
1550.43798 0.991828
1550.46718 0.991797
1550.49639 0.991685
1550.52559 0.991268
1550.5548 0.990437
1550.584 0.989818
1550.61321 0.989892
1550.64241 0.990328
1550.67162 0.990984
1550.70083 0.991314
1550.73004 0.991486
1550.75925 0.991645
1550.78845 0.991623
1550.81766 0.991308
1550.84687 0.990862
1550.87609 0.990763
1550.9053 0.990854
1550.93451 0.990612
1550.96372 0.990496
1550.99293 0.990751
1551.02215 0.99035
1551.05136 0.988866
1551.08058 0.987959
1551.10979 0.988898
1551.13901 0.989978
1551.16822 0.990437
1551.19744 0.990676
1551.22666 0.991167
1551.25588 0.991596
1551.2851 0.991762
1551.31431 0.99179
1551.34353 0.991744
1551.37275 0.991605
1551.40197 0.991353
1551.4312 0.991249
1551.46042 0.991482
1551.48964 0.991603
1551.51886 0.991409
1551.54809 0.990967
1551.57731 0.990439
1551.60654 0.990298
1551.63576 0.990587
1551.66499 0.99062
1551.69421 0.990541
1551.72344 0.990566
1551.75267 0.990262
1551.78189 0.990214
1551.81112 0.990783
1551.84035 0.991349
1551.86958 0.99158
1551.89881 0.991589
1551.92804 0.99142
1551.95727 0.990805
1551.98651 0.988842
1552.01574 0.983928
1552.04497 0.978711
1552.0742 0.98075
1552.10344 0.986727
1552.13267 0.989992
1552.16191 0.990669
1552.19114 0.990355
1552.22038 0.990136
1552.24962 0.990703
1552.27885 0.991306
1552.30809 0.991442
1552.33733 0.991466
1552.36657 0.991655
1552.39581 0.991804
1552.42505 0.991848
1552.45429 0.99184
1552.48353 0.991804
1552.51277 0.991794
1552.54201 0.991788
1552.57126 0.991637
1552.6005 0.991046
1552.62974 0.990073
1552.65899 0.989892
1552.68823 0.990868
1552.71748 0.991608
1552.74672 0.991814
1552.77597 0.991845
1552.80522 0.991793
1552.83447 0.991673
1552.86371 0.991595
1552.89296 0.991644
1552.92221 0.991778
1552.95146 0.991832
1552.98071 0.991804
1553.00996 0.991797
1553.03921 0.991798
1553.06847 0.991675
1553.09772 0.9912
1553.12697 0.990396
1553.15623 0.990135
1553.18548 0.990806
1553.21474 0.991497
1553.24399 0.991781
1553.27325 0.991853
1553.3025 0.991852
1553.33176 0.991841
1553.36102 0.991867
1553.39028 0.991895
1553.41954 0.991905
1553.44879 0.991897
1553.47805 0.991854
1553.50731 0.991809
1553.53658 0.991839
1553.56584 0.991881
1553.5951 0.99187
1553.62436 0.991775
1553.65363 0.991644
1553.68289 0.991655
1553.71215 0.991763
1553.74142 0.991752
1553.77068 0.991591
1553.79995 0.991486
1553.82922 0.991596
1553.85848 0.991763
1553.88775 0.991859
1553.91702 0.991889
1553.94629 0.991884
1553.97556 0.991855
1554.00483 0.99181
1554.0341 0.991777
1554.06337 0.991729
1554.09264 0.991531
1554.12191 0.990863
1554.15118 0.989664
1554.18046 0.988912
1554.20973 0.988796
1554.239 0.987813
1554.26828 0.986639
1554.29755 0.987827
1554.32683 0.990074
1554.35611 0.991276
1554.38538 0.991647
1554.41466 0.99177
1554.44394 0.991817
1554.47322 0.991833
1554.5025 0.991823
1554.53178 0.991775
1554.56106 0.991595
1554.59034 0.990897
1554.61962 0.989852
1554.6489 0.989899
1554.67818 0.990812
1554.70747 0.991071
1554.73675 0.99064
1554.76603 0.990536
1554.79532 0.991082
1554.8246 0.991596
1554.85389 0.9918
1554.88318 0.991852
1554.91246 0.991858
1554.94175 0.991798
1554.97104 0.991634
1555.00033 0.991483
1555.02961 0.99153
1555.0589 0.991674
1555.08819 0.991811
1555.11749 0.991877
1555.14678 0.991878
1555.17607 0.991789
1555.20536 0.991494
1555.23465 0.991207
1555.26395 0.99142
1555.29324 0.991758
1555.32254 0.9919
1555.35183 0.991935
1555.38113 0.991947
1555.41042 0.991952
1555.43972 0.991955
1555.46902 0.991957
1555.49831 0.991959
1555.52761 0.991958
1555.55691 0.991956
1555.58621 0.991953
1555.61551 0.991954
1555.64481 0.991959
1555.67411 0.991961
1555.70342 0.991961
1555.73272 0.991959
1555.76202 0.991957
1555.79132 0.991959
1555.82063 0.991962
1555.84993 0.991963
1555.87924 0.991961
1555.90854 0.991942
1555.93785 0.99184
1555.96716 0.991724
1555.99646 0.991822
1556.02577 0.991925
1556.05508 0.991944
1556.08439 0.991935
1556.1137 0.991912
1556.14301 0.991854
1556.17232 0.991724
1556.20163 0.991632
1556.23094 0.991715
1556.26025 0.991746
1556.28957 0.991478
1556.31888 0.991009
1556.34819 0.990945
1556.37751 0.991349
1556.40682 0.991691
1556.43614 0.99185
1556.46546 0.991906
1556.49477 0.991923
1556.52409 0.991938
1556.55341 0.991951
1556.58272 0.991958
1556.61204 0.991959
1556.64136 0.99195
1556.67068 0.99194
1556.7 0.991945
1556.72932 0.991948
1556.75865 0.991934
1556.78797 0.991855
1556.81729 0.991519
1556.84661 0.991034
1556.87594 0.991116
1556.90526 0.991572
1556.93459 0.991799
1556.96391 0.99185
1556.99324 0.99188
1557.02257 0.991873
1557.05189 0.991868
1557.08122 0.991906
1557.11055 0.991943
1557.13988 0.991953
1557.16921 0.991944
1557.19854 0.991909
1557.22787 0.99184
1557.2572 0.991623
1557.28653 0.991273
1557.31586 0.991188
1557.3452 0.991259
1557.37453 0.991368
1557.40386 0.991472
1557.4332 0.991658
1557.46253 0.991841
1557.49187 0.991925
1557.5212 0.991949
1557.55054 0.991946
1557.57988 0.991919
1557.60921 0.991907
1557.63855 0.991941
1557.66789 0.991967
1557.69723 0.991973
1557.72657 0.991967
1557.75591 0.991936
1557.78525 0.991903
1557.81459 0.991931
1557.84394 0.991963
1557.87328 0.991971
1557.90262 0.991965
1557.93196 0.991938
1557.96131 0.991895
1557.99065 0.991888
1558.02 0.991891
1558.04935 0.991779
1558.07869 0.991287
1558.10804 0.990528
1558.13739 0.99048
1558.16673 0.991125
1558.19608 0.991569
1558.22543 0.991677
1558.25478 0.991762
1558.28413 0.991861
1558.31348 0.991902
1558.34283 0.991894
1558.37219 0.991909
1558.40154 0.991945
1558.43089 0.99196
1558.46025 0.991956
1558.4896 0.991925
1558.51896 0.991838
1558.54831 0.991719
1558.57767 0.991693
1558.60702 0.991782
1558.63638 0.991854
1558.66574 0.991822
1558.6951 0.991558
1558.72445 0.99064
1558.75381 0.989225
1558.78317 0.98904
1558.81253 0.990377
1558.84189 0.99136
1558.87126 0.991587
1558.90062 0.991652
1558.92998 0.991762
1558.95934 0.991873
1558.98871 0.991923
1559.01807 0.99191
1559.04744 0.991845
1559.0768 0.991766
1559.10617 0.991736
1559.13553 0.99181
1559.1649 0.991907
1559.19427 0.991942
1559.22364 0.991919
1559.253 0.991852
1559.28237 0.991692
1559.31174 0.991211
1559.34111 0.990745
1559.37048 0.991133
1559.39986 0.991618
1559.42923 0.991775
1559.4586 0.991792
1559.48797 0.991705
1559.51735 0.991593
1559.54672 0.991612
1559.5761 0.991742
1559.60547 0.991818
1559.63485 0.991781
1559.66422 0.991611
1559.6936 0.991445
1559.72298 0.991452
1559.75236 0.991337
1559.78173 0.99109
1559.81111 0.991284
1559.84049 0.991661
1559.86987 0.991834
1559.89925 0.991879
1559.92864 0.991909
1559.95802 0.991923
1559.9874 0.991877
1560.01678 0.991612
1560.04617 0.990858
1560.07555 0.990141
1560.10494 0.990551
1560.13432 0.991382
1560.16371 0.991803
1560.19309 0.991922
1560.22248 0.991946
1560.25187 0.991935
1560.28125 0.991914
1560.31064 0.991857
1560.34003 0.991691
1560.36942 0.991494
1560.39881 0.991575
1560.4282 0.99181
1560.45759 0.991922
1560.48699 0.991934
1560.51638 0.991956
1560.54577 0.991976
1560.57516 0.991978
1560.60456 0.991963
1560.63395 0.991927
1560.66335 0.99185
1560.69274 0.99175
1560.72214 0.991711
1560.75154 0.991548
1560.78093 0.991092
1560.81033 0.990685
1560.83973 0.990223
1560.86913 0.989573
1560.89853 0.989961
1560.92793 0.991017
1560.95733 0.991629
1560.98673 0.991813
1561.01613 0.991859
1561.04554 0.991882
1561.07494 0.991901
1561.10434 0.991926
1561.13375 0.991947
1561.16315 0.99193
1561.19256 0.991805
1561.22196 0.991538
1561.25137 0.991337
1561.28078 0.991439
1561.31018 0.991656
1561.33959 0.991678
1561.369 0.9916
1561.39841 0.991751
1561.42782 0.991924
1561.45723 0.991981
1561.48664 0.991991
1561.51605 0.991998
1561.54546 0.992005
1561.57487 0.992009
1561.60429 0.99201
1561.6337 0.992009
1561.66311 0.992005
1561.69253 0.992002
1561.72194 0.992003
1561.75136 0.991998
1561.78078 0.99199
1561.81019 0.991994
1561.83961 0.991998
1561.86903 0.991992
1561.89845 0.991985
1561.92787 0.99198
1561.95728 0.99197
1561.9867 0.991939
1562.01613 0.99189
1562.04555 0.991854
1562.07497 0.991831
1562.10439 0.991751
1562.13381 0.991487
1562.16324 0.990516
1562.19266 0.987788
