# Obtained using Skycalc tool from ESO webpage
# Water vapour content 2.5 mm
Wave[nm] Transmission[no-units]
1920 0.00537199
1920.24516 0.0113694
1920.49036 0.00701575
1920.73559 0.00287719
1920.98084 0.0158674
1921.22613 0.074206
1921.47145 0.16375
1921.7168 0.275965
1921.96219 0.466916
1922.2076 0.58628
1922.45305 0.635391
1922.69852 0.624481
1922.94403 0.622184
1923.18957 0.649175
1923.43514 0.564271
1923.68075 0.330158
1923.92638 0.100048
1924.17204 0.0198785
1924.41774 0.064745
1924.66347 0.20262
1924.90923 0.403622
1925.15502 0.634364
1925.40084 0.753395
1925.64669 0.737013
1925.89258 0.602226
1926.13849 0.489858
1926.38444 0.521806
1926.63042 0.410847
1926.87643 0.160649
1927.12247 0.0498103
1927.36855 0.0925792
1927.61465 0.226266
1927.86079 0.383597
1928.10695 0.394777
1928.35315 0.221144
1928.59938 0.0864018
1928.84565 0.163134
1929.09194 0.406026
1929.33826 0.583364
1929.58462 0.623768
1929.83101 0.558387
1930.07743 0.338038
1930.32388 0.19043
1930.57036 0.232674
1930.81687 0.194662
1931.06342 0.143892
1931.30999 0.192462
1931.5566 0.256711
1931.80324 0.303022
1932.04991 0.413399
1932.29661 0.623237
1932.54335 0.627153
1932.79011 0.441588
1933.03691 0.45585
1933.28374 0.635813
1933.5306 0.618498
1933.77749 0.371713
1934.02441 0.19095
1934.27137 0.252664
1934.51835 0.41201
1934.76537 0.643724
1935.01242 0.802006
1935.2595 0.816744
1935.50661 0.715242
1935.75376 0.586208
1936.00093 0.5513
1936.24814 0.422095
1936.49538 0.232425
1936.74265 0.280646
1936.98995 0.494839
1937.23728 0.587404
1937.48465 0.607665
1937.73204 0.487691
1937.97947 0.271378
1938.22693 0.319234
1938.47442 0.532207
1938.72195 0.530391
1938.9695 0.309017
1939.21709 0.187718
1939.4647 0.198839
1939.71235 0.155496
1939.96003 0.292327
1940.20775 0.573235
1940.45549 0.651339
1940.70327 0.52863
1940.95107 0.385943
1941.19891 0.380051
1941.44678 0.300566
1941.69469 0.327107
1941.94262 0.516613
1942.19059 0.75737
1942.43858 0.863772
1942.68661 0.831064
1942.93467 0.770376
1943.18276 0.761408
1943.43089 0.618053
1943.67904 0.436992
1943.92723 0.521
1944.17545 0.533314
1944.4237 0.398202
1944.67198 0.295678
1944.9203 0.27962
1945.16864 0.432265
1945.41702 0.560144
1945.66543 0.624485
1945.91387 0.606316
1946.16234 0.586855
1946.41085 0.662016
1946.65938 0.741218
1946.90795 0.639278
1947.15655 0.453133
1947.40518 0.468699
1947.65385 0.574475
1947.90254 0.560563
1948.15127 0.441267
1948.40003 0.465875
1948.64882 0.55096
1948.89764 0.597369
1949.14649 0.493562
1949.39538 0.466257
1949.64429 0.560561
1949.89324 0.581377
1950.14222 0.598451
1950.39124 0.607414
1950.64028 0.58783
1950.88936 0.555978
1951.13847 0.66367
1951.38761 0.706896
1951.63678 0.704532
1951.88598 0.648417
1952.13522 0.57614
1952.38448 0.565657
1952.63378 0.525185
1952.88311 0.542428
1953.13248 0.392404
1953.38187 0.30222
1953.6313 0.428108
1953.88075 0.543426
1954.13024 0.416908
1954.37977 0.322331
1954.62932 0.403931
1954.87891 0.496035
1955.12852 0.411081
1955.37817 0.353078
1955.62785 0.340963
1955.87757 0.378331
1956.12731 0.344337
1956.37709 0.310816
1956.6269 0.343439
1956.87674 0.418518
1957.12661 0.423107
1957.37651 0.449298
1957.62645 0.434517
1957.87642 0.360669
1958.12642 0.345888
1958.37645 0.366218
1958.62652 0.432814
1958.87661 0.379153
1959.12674 0.323774
1959.3769 0.365539
1959.62709 0.525928
1959.87731 0.658317
1960.12757 0.692246
1960.37786 0.732648
1960.62818 0.650046
1960.87853 0.535843
1961.12891 0.557137
1961.37933 0.676083
1961.62978 0.718429
1961.88025 0.668189
1962.13077 0.569555
1962.38131 0.600483
1962.63188 0.530358
1962.88249 0.49443
1963.13313 0.504623
1963.3838 0.406058
1963.63451 0.440992
1963.88524 0.521137
1964.13601 0.548504
1964.38681 0.515524
1964.63764 0.508668
1964.8885 0.644063
1965.1394 0.642836
1965.39033 0.562518
1965.64129 0.610065
1965.89228 0.560037
1966.1433 0.618328
1966.39436 0.679725
1966.64545 0.623261
1966.89657 0.715889
1967.14772 0.718088
1967.3989 0.644369
1967.65012 0.670221
1967.90137 0.598981
1968.15265 0.62821
1968.40396 0.695449
1968.6553 0.670868
1968.90668 0.761669
1969.15809 0.75756
1969.40953 0.662027
1969.661 0.778476
1969.91251 0.806796
1970.16404 0.729923
1970.41561 0.814946
1970.66721 0.806157
1970.91885 0.676076
1971.17051 0.6585
1971.42221 0.640267
1971.67394 0.593214
1971.9257 0.641527
1972.1775 0.665721
1972.42932 0.731949
1972.68118 0.849382
1972.93307 0.852183
1973.18499 0.819702
1973.43695 0.855932
1973.68894 0.824585
1973.94096 0.689021
1974.19301 0.646179
1974.44509 0.761108
1974.69721 0.84287
1974.94936 0.908198
1975.20154 0.900985
1975.45375 0.857146
1975.70599 0.849965
1975.95827 0.812063
1976.21058 0.832416
1976.46292 0.919063
1976.71529 0.9426
1976.9677 0.924428
1977.22014 0.930104
1977.47261 0.908512
1977.72511 0.896034
1977.97764 0.921881
1978.23021 0.941691
1978.48281 0.924674
1978.73544 0.928126
1978.9881 0.947486
1979.2408 0.929848
1979.49353 0.82556
1979.74629 0.635558
1979.99908 0.584022
1980.25191 0.646752
1980.50476 0.683698
1980.75765 0.827982
1981.01058 0.936749
1981.26353 0.963995
1981.51652 0.963984
1981.76954 0.961948
1982.02259 0.968512
1982.27567 0.965569
1982.52879 0.936115
1982.78193 0.890016
1983.03511 0.871832
1983.28833 0.93127
1983.54157 0.974782
1983.79485 0.982056
1984.04816 0.9785
1984.3015 0.973602
1984.55488 0.973584
1984.80828 0.962301
1985.06172 0.909793
1985.31519 0.872201
1985.5687 0.931096
1985.82223 0.974929
1986.0758 0.977999
1986.3294 0.962633
1986.58304 0.881986
1986.8367 0.709709
1987.0904 0.649518
1987.34413 0.817329
1987.59789 0.934457
1987.85169 0.953874
1988.10552 0.961529
1988.35938 0.969467
1988.61327 0.97586
1988.86719 0.974974
1989.12115 0.970558
1989.37514 0.967895
1989.62916 0.921861
1989.88322 0.800777
1990.1373 0.718452
1990.39142 0.776187
1990.64558 0.828626
1990.89976 0.901648
1991.15398 0.963611
1991.40823 0.981966
1991.66251 0.976143
1991.91682 0.966836
1992.17117 0.971143
1992.42555 0.972856
1992.67996 0.977216
1992.9344 0.981251
1993.18888 0.977167
1993.44339 0.972924
1993.69793 0.9629
1993.95251 0.893339
1994.20711 0.817387
1994.46175 0.876208
1994.71642 0.924772
1994.97113 0.942631
