# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Radiance[photons/s/m**2/micron/arsec**2]
1430 93.7176
1430.16529 181.966
1430.3306 225.758
1430.49593 233.193
1430.66127 223.396
1430.82664 188.024
1430.99202 126.006
1431.15743 81.7879
1431.32285 89.1551
1431.48829 85.2554
1431.65375 59.5641
1431.81923 67.632
1431.98473 95.0098
1432.15025 112.638
1432.31579 68.655
1432.48135 35.919
1432.64692 73.7694
1432.81252 131.381
1432.97813 142.964
1433.14377 163.776
1433.30942 197.194
1433.47509 191.038
1433.64078 224.559
1433.80649 2213.06
1433.97222 16687
1434.13797 33210.3
1434.30374 16626.6
1434.46952 2140.34
1434.63533 189.927
1434.80115 173.684
1434.967 212.72
1435.13286 608.956
1435.29874 8461.38
1435.46465 63749.2
1435.63057 126973
1435.79651 63569.6
1435.96247 8062.08
1436.12844 345.74
1436.29444 124.738
1436.46046 168.694
1436.62649 460.621
1436.79255 2371.51
1436.95862 4593.88
1437.12472 4050.67
1437.29083 14234.3
1437.45696 27821.9
1437.62311 13931.7
1437.78928 1858.89
1437.95547 300.577
1438.12168 224.866
1438.28791 194.236
1438.45416 184.141
1438.62042 181.398
1438.78671 209.984
1438.95301 283.255
1439.11934 821.391
1439.28568 1445.79
1439.45204 1029.09
1439.61843 2574.12
1439.78483 4989.51
1439.95125 2778.19
1440.11769 1872.28
1440.28415 3127.82
1440.45062 1983.38
1440.61712 575.791
1440.78364 217.461
1440.95017 185.278
1441.11673 183.718
1441.2833 140.443
1441.4499 86.0595
1441.61651 109.807
1441.78314 193.277
1441.94979 378.133
1442.11646 535.501
1442.28315 377.776
1442.44986 534.097
1442.61659 1150.87
1442.78334 1225.69
1442.9501 529.232
1443.11689 184.25
1443.28369 209.61
1443.45052 238.108
1443.61736 234.726
1443.78423 225.189
1443.95111 209.313
1444.11801 173.357
1444.28493 153.157
1444.45187 163.991
1444.61883 210.162
1444.78581 232.464
1444.95281 217.589
1445.11983 182.96
1445.28686 133.294
1445.45392 78.4499
1445.621 30.5691
1445.78809 39.6442
1445.9552 154.653
1446.12234 281.303
1446.28949 253.566
1446.45666 263.516
