# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Transmission[no-units]
1174.80484 0.973206
1174.8925 0.971849
1174.98017 0.977824
1175.06785 0.982963
1175.15553 0.980659
1175.24322 0.960184
1175.33091 0.917791
1175.41861 0.89725
1175.50632 0.927579
1175.59404 0.961775
1175.68176 0.974716
1175.76948 0.976918
1175.85722 0.981027
1175.94496 0.984811
1176.03271 0.985963
1176.12046 0.986034
1176.20822 0.985427
1176.29599 0.984532
1176.38376 0.984754
1176.47154 0.984376
1176.55933 0.978335
1176.64712 0.970913
1176.73492 0.976926
1176.82273 0.983928
1176.91054 0.985536
1176.99836 0.984336
1177.08618 0.98016
1177.17402 0.977406
1177.26186 0.978402
1177.3497 0.963978
1177.43755 0.937279
1177.52541 0.910141
1177.61328 0.866968
1177.70115 0.858975
1177.78903 0.862266
1177.87691 0.904867
1177.9648 0.958992
1178.0527 0.9811
1178.14061 0.984071
1178.22852 0.978342
1178.31644 0.944781
1178.40436 0.908386
1178.49229 0.943578
1178.58023 0.973522
1178.66817 0.975995
1178.75612 0.981173
1178.84408 0.985237
1178.93204 0.985922
1179.02001 0.985884
1179.10799 0.985633
1179.19597 0.984923
1179.28396 0.983719
1179.37196 0.977171
1179.45996 0.934351
1179.54797 0.880064
1179.63599 0.913074
1179.72401 0.941818
1179.81204 0.936015
1179.90008 0.960407
1179.98812 0.977388
1180.07617 0.977138
1180.16422 0.981345
1180.25228 0.984505
1180.34035 0.982271
1180.42843 0.978809
1180.51651 0.981083
1180.6046 0.982767
1180.69269 0.97962
1180.7808 0.972346
1180.8689 0.963828
1180.95702 0.965703
1181.04514 0.976252
1181.13327 0.979125
1181.2214 0.964071
1181.30954 0.941638
1181.39769 0.952353
1181.48584 0.967807
1181.574 0.969519
1181.66217 0.95855
1181.75035 0.870098
1181.83853 0.755617
1181.92671 0.824751
1182.01491 0.911756
1182.10311 0.880843
1182.19131 0.838108
1182.27953 0.910293
1182.36775 0.969775
1182.45597 0.974432
1182.54421 0.962764
1182.63245 0.954785
1182.72069 0.95161
1182.80895 0.966758
1182.89721 0.98033
1182.98547 0.981254
1183.07374 0.978423
1183.16202 0.981312
1183.25031 0.983331
1183.3386 0.983591
1183.4269 0.984114
1183.51521 0.979724
1183.60352 0.97274
1183.69184 0.974449
1183.78016 0.970681
1183.86849 0.963088
1183.95683 0.973921
1184.04518 0.982473
1184.13353 0.974599
1184.22189 0.920278
1184.31025 0.856609
1184.39862 0.907231
1184.487 0.963268
1184.57539 0.974609
1184.66378 0.959006
1184.75218 0.933535
1184.84058 0.929445
1184.92899 0.916019
1185.01741 0.890404
1185.10583 0.922733
1185.19426 0.966957
1185.2827 0.981821
1185.37115 0.980786
1185.4596 0.977454
1185.54805 0.980476
1185.63652 0.982997
1185.72499 0.981863
1185.81346 0.978038
1185.90195 0.970095
1185.99044 0.970804
1186.07894 0.978612
1186.16744 0.982871
1186.25595 0.984316
1186.34447 0.981725
1186.43299 0.966377
1186.52152 0.951052
1186.61005 0.967761
1186.6986 0.980451
1186.78715 0.970657
1186.8757 0.956087
1186.96427 0.967129
1187.05284 0.977124
1187.14141 0.976308
1187.23 0.97746
1187.31858 0.980004
1187.40718 0.979315
1187.49578 0.960862
1187.58439 0.892298
1187.67301 0.833119
1187.76163 0.903685
1187.85026 0.963146
1187.9389 0.968864
1188.02754 0.96251
1188.11619 0.912629
1188.20484 0.856065
1188.2935 0.903662
1188.38217 0.932964
1188.47085 0.926603
1188.55953 0.931015
1188.64822 0.961675
1188.73691 0.980821
1188.82562 0.982453
1188.91432 0.979359
1189.00304 0.978057
1189.09176 0.966153
1189.18049 0.933338
1189.26922 0.922558
1189.35796 0.957065
1189.44671 0.979492
1189.53547 0.984401
1189.62423 0.985398
1189.713 0.982736
1189.80177 0.978861
1189.89055 0.980656
1189.97934 0.982476
1190.06814 0.980571
1190.15694 0.968304
1190.24574 0.946126
1190.33456 0.949284
1190.42338 0.971857
1190.51221 0.980486
1190.60104 0.976333
1190.68988 0.971529
1190.77873 0.962217
1190.86758 0.953653
1190.95644 0.958791
1191.04531 0.962073
1191.13419 0.96488
1191.22307 0.971536
1191.31195 0.971683
1191.40085 0.97745
1191.48975 0.983946
1191.57866 0.985503
1191.66757 0.982234
1191.75649 0.964836
1191.84542 0.944903
1191.93435 0.958746
1192.02329 0.975623
1192.11224 0.981572
1192.20119 0.984645
1192.29015 0.985856
1192.37912 0.985583
1192.46809 0.983033
1192.55707 0.979069
1192.64606 0.979143
1192.73505 0.977196
1192.82405 0.974171
1192.91306 0.980449
1193.00207 0.984945
1193.09109 0.98292
1193.18012 0.978435
1193.26915 0.975126
1193.35819 0.950656
1193.44724 0.906555
1193.53629 0.912516
1193.62535 0.9503
1193.71442 0.969198
1193.80349 0.979809
1193.89257 0.985251
1193.98166 0.985985
1194.07075 0.985042
1194.15985 0.983923
1194.24896 0.984087
1194.33807 0.978537
1194.42719 0.968895
1194.51632 0.96905
1194.60545 0.97178
1194.69459 0.977272
1194.78374 0.982865
1194.87289 0.98321
1194.96205 0.973256
1195.05122 0.953017
1195.14039 0.950401
1195.22957 0.970029
1195.31875 0.981761
1195.40795 0.977507
1195.49715 0.959188
1195.58635 0.948048
1195.67557 0.96016
1195.76479 0.961924
1195.85401 0.963755
1195.94324 0.97643
1196.03248 0.982593
1196.12173 0.982031
1196.21098 0.976941
1196.30024 0.962851
1196.38951 0.955855
1196.47878 0.966693
1196.56806 0.978323
1196.65735 0.983897
1196.74664 0.984892
1196.83594 0.981519
1196.92525 0.976902
1197.01456 0.979778
1197.10388 0.983579
1197.1932 0.982118
1197.28254 0.978502
1197.37188 0.977683
1197.46122 0.962012
1197.55057 0.922374
1197.63993 0.912604
1197.7293 0.954317
1197.81867 0.981229
1197.90805 0.985684
1197.99744 0.985979
1198.08683 0.985032
1198.17623 0.983688
1198.26564 0.984188
