# Obtained using Skycalc tool from ESO webpage
# Water vapour content 2.5 mm
Wave[nm] Transmission[no-units]
800 0.960503
800.114294 0.961451
800.228604 0.953618
800.342931 0.963963
800.457273 0.966267
800.571633 0.964039
800.686008 0.963564
800.8004 0.966154
800.914808 0.95381
801.029233 0.956567
801.143674 0.966366
801.258131 0.964558
801.372605 0.965378
801.487095 0.953974
801.601601 0.959474
801.716124 0.964961
801.830663 0.965208
801.945218 0.96377
802.05979 0.964336
802.174378 0.9664
802.288983 0.960438
802.403604 0.963265
802.518241 0.959225
802.632895 0.960819
802.747565 0.96369
802.862251 0.963355
802.976954 0.962493
803.091673 0.957665
803.206409 0.965265
803.321161 0.964509
803.435929 0.966183
803.550714 0.962185
803.665515 0.960309
803.780332 0.96441
803.895166 0.959412
804.010017 0.965717
804.124883 0.963748
804.239767 0.964435
804.354666 0.965444
804.469582 0.96283
804.584515 0.95887
804.699464 0.962392
804.814429 0.959519
804.929411 0.966309
805.044409 0.966668
805.159423 0.965181
805.274454 0.966607
805.389502 0.966721
805.504566 0.962934
805.619646 0.965041
805.734743 0.965737
805.849856 0.966064
805.964985 0.966887
806.080131 0.965642
806.195294 0.963598
806.310473 0.966598
806.425668 0.964945
806.54088 0.962944
806.656109 0.966748
806.771353 0.964055
806.886615 0.966896
807.001893 0.966353
807.117187 0.966166
807.232497 0.960858
807.347825 0.965432
807.463168 0.966758
807.578528 0.966991
807.693905 0.965854
807.809298 0.963595
807.924708 0.966657
808.040134 0.965387
808.155576 0.96465
808.271035 0.965458
808.386511 0.964984
808.502003 0.965834
808.617511 0.966805
808.733036 0.9563
808.848578 0.965966
808.964136 0.966266
809.079711 0.966051
809.195302 0.966439
809.310909 0.961143
809.426533 0.966122
809.542174 0.966044
809.657831 0.960194
809.773505 0.964788
809.889195 0.960024
810.004902 0.964401
810.120625 0.960884
810.236365 0.966826
810.352121 0.962977
810.467894 0.964905
810.583683 0.963743
810.699489 0.963759
810.815312 0.963857
810.931151 0.964742
811.047006 0.957412
811.162878 0.961623
811.278767 0.961049
811.394672 0.965274
811.510594 0.958412
811.626533 0.945885
811.742487 0.964425
811.858459 0.966056
811.974447 0.965131
812.090452 0.955451
812.206473 0.965818
812.322511 0.95267
812.438565 0.956112
812.554636 0.955457
812.670724 0.964072
812.786828 0.955464
812.902948 0.955738
813.019086 0.966814
813.135239 0.966558
813.25141 0.930509
813.367597 0.954256
813.483801 0.961597
813.600021 0.901792
813.716258 0.921518
813.832511 0.947953
813.948781 0.960999
814.065068 0.962705
814.181371 0.953623
814.297691 0.919601
814.414028 0.917174
814.530381 0.962658
814.646751 0.935599
814.763137 0.965495
814.87954 0.931388
814.99596 0.925177
815.112396 0.917081
815.228849 0.917226
815.345319 0.965634
815.461805 0.919373
815.578308 0.933978
