# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Radiance[photons/s/m**2/micron/arsec**2]
1950 3641.53
1950.05572 1573.68
1950.11143 1432.57
1950.16715 1177.73
1950.22287 518.082
1950.27859 394.677
1950.33431 459.93
1950.39004 1056.34
1950.44577 2891.28
1950.50149 3294.68
1950.55722 1151.7
1950.61295 604.002
1950.66869 761.628
1950.72442 1278.02
1950.78016 1732.25
1950.83589 1633.69
1950.89163 2774.82
1950.94737 3761.39
1951.00312 2016.34
1951.05886 1183.11
1951.1146 426.169
1951.17035 357.095
1951.2261 451.904
1951.28185 1592.05
1951.3376 2434.98
1951.39335 1672.37
1951.44911 343.461
1951.50487 310.746
1951.56062 555.438
1951.61638 415.364
1951.67215 548.31
1951.72791 1783.34
1951.78367 53187.9
1951.83944 625.957
1951.89521 70784.5
1951.95098 546.759
1952.00675 630.445
1952.06252 925.152
1952.11829 1466.65
1952.17407 3830.43
1952.22985 3818.71
1952.28562 1126.37
1952.3414 733.921
1952.39719 958.227
1952.45297 657.619
1952.50876 1104.96
1952.56454 2907.34
1952.62033 3648.1
1952.67612 3578.14
1952.73191 1544.66
1952.78771 721.225
1952.8435 6326.4
1952.8993 6500.74
1952.95509 536.139
1953.01089 760.328
1953.06669 1461.15
1953.1225 3284.56
1953.1783 3814.53
1953.23411 4894.81
1953.28992 5925.21
1953.34572 6479.79
1953.40153 4225.42
1953.45735 1857.34
1953.51316 1293.98
1953.56898 1787.75
1953.62479 3972.83
1953.68061 1879.59
1953.73643 1017.77
1953.79225 920.026
1953.84808 559.539
1953.9039 526.004
1953.95973 602.067
1954.01556 1033.55
1954.07139 3358.08
1954.12722 4162.8
1954.18305 1867.11
1954.23889 1972.64
1954.29472 4134.16
1954.35056 6240.31
1954.4064 4067.84
1954.46224 1871.61
1954.51808 1511.91
1954.57393 3036.21
1954.62977 3927.76
1954.68562 1606.37
1954.74147 761.469
1954.79732 572.146
1954.85317 810.862
1954.90903 872.446
1954.96488 1007.72
1955.02074 1298.79
1955.0766 3098.46
1955.13246 4035.46
1955.18832 1863.39
1955.24418 2433.08
1955.30005 1201.41
1955.35591 1213.82
1955.41178 2658.37
1955.46765 5704.13
1955.52352 8976.12
1955.5794 10477.3
