# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Radiance[photons/s/m**2/micron/arsec**2]
800 357.137
800.114294 247.049
800.228604 221.585
800.342931 178.902
800.457273 258.299
800.571633 227.507
800.686008 224.128
800.8004 206.345
800.914808 177.802
801.029233 212.081
801.143674 180.461
801.258131 220.933
801.372605 235.411
801.487095 178.619
801.601601 3075.28
801.716124 276.426
801.830663 265.104
801.945218 181.088
802.05979 181.354
802.174378 489.749
802.288983 524.928
802.403604 181.629
802.518241 181.025
802.632895 256.976
802.747565 4646.26
802.862251 4382.64
802.976954 182.277
803.091673 953.819
803.206409 236.063
803.321161 183.137
803.435929 427.42
803.550714 183.013
803.665515 242.716
803.780332 243.539
803.895166 182.961
804.010017 184.323
804.124883 217.088
804.239767 188.49
804.354666 266.74
804.469582 214.127
804.584515 183.809
804.699464 185.415
804.814429 202.771
804.929411 202.414
805.044409 185.943
805.159423 320.602
805.274454 321.011
805.389502 2084.43
805.504566 185.862
805.619646 186.428
805.734743 210.335
805.849856 191.337
805.964985 201.254
806.080131 189.353
806.195294 220.606
806.310473 187.689
806.425668 4049.58
806.54088 215.931
806.656109 189.265
806.771353 194.564
806.886615 240.319
807.001893 222.619
807.117187 188.726
807.232497 187.849
807.347825 188.903
807.463168 189.323
807.578528 189.529
807.693905 312.21
807.809298 189.183
807.924708 316.532
808.040134 299.56
808.155576 189.87
808.271035 190.189
808.386511 190.256
808.502003 190.584
808.617511 190.936
808.733036 581.385
808.848578 191.091
808.964136 191.311
809.079711 191.429
809.195302 191.667
809.310909 190.776
809.426533 191.925
809.542174 1021.61
809.657831 191.067
809.773505 283.406
809.889195 191.352
810.004902 192.385
810.120625 197.066
810.236365 204.548
810.352121 221.376
810.467894 1928.82
810.583683 193.055
810.699489 281.979
810.815312 221.077
810.931151 220.765
811.047006 209.881
811.162878 193.431
811.278767 220.278
811.394672 217.175
811.510594 206.337
811.626533 190.895
811.742487 194.797
811.858459 195.288
811.974447 195.261
812.090452 193.462
812.206473 213.159
812.322511 193.217
812.438565 213.236
812.554636 228.621
812.670724 196.012
812.786828 195.4
812.902948 224.14
813.019086 251.929
813.135239 197.162
813.25141 220.994
813.367597 229.14
813.483801 258.528
813.600021 184.553
813.716258 233.312
813.832511 249.451
813.948781 234.468
814.065068 418.232
814.181371 445.006
814.297691 285.164
814.414028 208.874
814.530381 198.295
814.646751 192.878
814.763137 199.202
814.87954 688.015
814.99596 548.128
815.112396 189.674
815.228849 189.857
815.345319 212.12
815.461805 207.937
815.578308 211.929
815.694827 180.575
815.811364 200.2
815.927916 200.152
816.044486 185.475
816.161072 201.051
816.277675 200.742
816.394294 170.005
816.51093 186.048
816.627583 177.004
816.744252 190.858
816.860939 201.669
816.977641 201.902
817.094361 189.793
817.211097 171.02
817.32785 202.254
817.444619 202.834
817.561405 201.927
817.678208 201.745
817.795028 203.112
817.911864 172.7
818.028717 184.822
818.145586 190.232
818.262473 203.246
818.379376 187.968
818.496295 201.047
818.613232 204.106
818.730185 204.756
818.847155 190.639
818.964141 204.178
819.081144 473.887
819.198164 179.783
819.315201 205.216
819.432254 205.039
819.549324 183.101
819.666411 393.666
819.783515 355.736
819.900635 205.542
820.017772 178.896
820.134926 202.323
820.252096 192.852
820.369284 206.315
820.486488 207.795
820.603708 208.084
820.720946 243.647
820.8382 231.785
820.955471 283.334
821.072759 243.349
821.190063 237.803
821.307385 207.644
821.424723 202.684
821.542077 209.773
821.659449 257.634
821.776837 262.585
821.894242 210.453
822.011664 198.074
822.129103 210.773
822.246558 211.263
822.36403 203.853
822.481519 211.488
822.599025 202.034
822.716548 210.259
822.834087 205.112
822.951643 181.692
823.069216 152.177
823.186806 199.764
823.304412 190.621
823.422035 195.482
823.539676 212.863
823.657333 197.024
823.775006 213.954
823.892697 212.979
824.010404 210.283
824.128128 215.078
824.245869 210.984
824.363627 318.191
824.481402 308.002
824.599193 195.505
824.717002 216.597
824.834827 216.628
824.952669 363.774
825.070527 328.909
825.188403 217.715
825.306296 217.93
825.424205 217.511
825.542131 212.384
825.660074 218.513
825.778034 334.155
825.896011 195.043
826.014004 218.072
826.132015 215.817
826.250042 212.12
826.368086 219.939
826.486147 219.837
826.604225 212.39
826.72232 220.289
826.840431 221.238
826.95856 221.446
827.076705 247.022
827.194868 221.068
827.313047 222.089
827.431243 228.524
827.549456 220.889
827.667685 198.287
827.785932 222.151
827.904196 291.136
828.022476 2150.45
828.140774 1076.74
828.259088 222.158
828.377419 5779.93
828.495767 902.188
828.614132 254.609
828.732514 276.023
828.850913 2160.53
828.969328 205.886
829.087761 7801.54
829.206211 215.846
829.324677 686.786
829.443161 226.732
829.561661 226.033
829.680178 204.185
829.798712 3216.8
829.917264 227.732
830.035832 227.79
830.154417 9299.13
830.273019 214.297
830.391638 410.638
830.510273 493.189
830.628926 343.717
830.747596 284.102
830.866283 229.243
830.984986 229.373
831.103707 271.465
831.222445 229.789
831.341199 3500.16
831.459971 222.941
831.578759 228.899
831.697564 231.294
831.816387 224.445
831.935226 231.39
832.054083 594.65
832.172956 288.282
832.291846 226.208
832.410754 208.53
832.529678 233.22
832.648619 233.526
832.767578 233.594
832.886553 232.386
833.005545 234.123
833.124555 232.044
833.243581 226.46
833.362624 234.84
833.481684 232.405
833.600762 230.351
833.719856 233.859
833.838967 233.46
833.958096 398.394
834.077241 428.188
834.196404 233.675
834.315583 236.81
834.434779 234.107
834.553993 2910.58
834.673223 23526.3
834.792471 237.985
834.911736 237.727
835.031017 238.377
835.150316 603.23
835.269632 592.345
835.388964 239.241
835.508314 8152.75
835.627681 236.378
835.747065 238.95
835.866466 285.262
835.985884 235.12
836.105319 240.828
836.224771 378.34
836.34424 784.849
836.463727 337.296
836.58323 337.684
836.70275 2875.84
836.822288 448.166
836.941843 280.978
837.061414 242.813
837.181003 275.416
837.300609 242.756
837.420232 243.563
837.539872 269.91
837.659529 241.919
837.779203 244.003
837.898894 327.767
838.018603 244.403
838.138328 245.041
838.258071 995.987
838.37783 245.181
838.497607 5770.26
838.617401 244.573
838.737212 244.519
838.85704 245.786
838.976886 303.659
839.096748 246.883
839.216628 379.795
839.336524 336.654
839.456438 320.956
839.576369 247.165
839.696317 247.222
839.816282 283.745
839.936265 247.591
840.056264 248.956
840.176281 19438.1
840.296314 336.118
840.416365 249.916
840.536433 249.933
840.656519 249.98
840.776621 248.681
840.89674 250.917
841.016877 250.542
841.137031 248.684
841.257202 251.334
841.37739 251.666
