# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Radiance[photons/s/m**2/micron/arsec**2]
1920 3158.13
1920.24516 4021.1
1920.49036 4322.2
1920.73559 4583.1
1920.98084 4432.75
1921.22613 3786.28
1921.47145 3090.55
1921.7168 2595.11
1921.96219 1792.7
1922.2076 1291.93
1922.45305 1125.62
1922.69852 1173.74
1922.94403 1186.89
1923.18957 1102.42
1923.43514 1449.2
1923.68075 2576.11
1923.92638 3957.53
1924.17204 4571.73
1924.41774 6912.98
1924.66347 28318.7
1924.90923 73111.5
1925.15502 77831.4
1925.40084 30922
1925.64669 4377.51
1925.89258 1537.74
1926.13849 1918.29
1926.38444 1718.07
1926.63042 2246.26
1926.87643 3624.18
1927.12247 4292.56
1927.36855 3941.68
1927.61465 3058.77
1927.86079 2224.95
1928.10695 2199.36
1928.35315 3239.1
1928.59938 4224.43
1928.84565 3738.05
1929.09194 2318.52
1929.33826 1441.73
1929.58462 1276.57
1929.83101 1604.38
1930.07743 2735.84
1930.32388 3568.38
1930.57036 3200.41
1930.81687 3311.88
1931.06342 3643.67
1931.30999 3396.72
1931.5566 3006.55
1931.80324 2877.62
1932.04991 2469.42
1932.29661 1483.78
1932.54335 1394.33
1932.79011 2199.04
1933.03691 2203.15
1933.28374 1405.12
1933.5306 1453.06
1933.77749 2711.98
1934.02441 3755.42
1934.27137 3303
1934.51835 4396.3
1934.76537 17885.7
1935.01242 33816.4
1935.2595 17220.8
1935.50661 3173.94
1935.75376 1713.91
1936.00093 1754.91
1936.24814 2444.5
1936.49538 3592.08
1936.74265 3345.64
1936.98995 2118.42
1937.23728 1579.21
1937.48465 1502.59
1937.73204 2205.88
1937.97947 3374.07
1938.22693 2989.3
1938.47442 1876.92
1938.72195 1938.76
1938.9695 3184.11
1939.21709 3912.45
1939.4647 4032.66
1939.71235 5702.77
1939.96003 6343.31
1940.20775 3292.72
1940.45549 1561.05
1940.70327 2020.58
1940.95107 2770.69
1941.19891 2753.28
1941.44678 3198.89
1941.69469 3133.96
1941.94262 2144.95
1942.19059 979.763
1942.43858 484.094
1942.68661 600.003
1942.93467 829.01
1943.18276 880.288
1943.43089 1663.93
1943.67904 2623.61
1943.92723 2071.64
1944.17545 1867.08
1944.4237 2526.56
1944.67198 3202.83
1944.9203 3501.82
1945.16864 2528.68
1945.41702 1703.71
1945.66543 1395.35
1945.91387 1507.2
1946.16234 1574.39
1946.41085 1220.3
1946.65938 888.787
1946.90795 1481.12
1947.15655 2540.18
1947.40518 2422.9
1947.65385 1753.93
1947.90254 1890.46
1948.15127 2625.02
1948.40003 2364.64
1948.64882 1833.99
1948.89764 1561.85
1949.14649 2049.23
1949.39538 2213.31
1949.64429 1719.41
1949.89324 1632.26
1950.14222 1500.55
1950.39124 1436.3
1950.64028 1536.73
1950.88936 1669.8
1951.13847 1298.63
1951.38761 1890.48
1951.63678 7381.36
1951.88598 13966.3
1952.13522 7985.9
1952.38448 2523.15
1952.63378 2439
1952.88311 3022
1953.13248 3336.14
1953.38187 3364.33
1953.6313 2331.61
1953.88075 1661
1954.13024 2417.74
1954.37977 3007.53
1954.62932 2336.77
1954.87891 1758.89
1955.12852 2350.12
1955.37817 4007.77
1955.62785 9507.15
1955.87757 16582.6
1956.12731 14509.4
1956.37709 6935.98
1956.6269 3103.45
1956.87674 2318.84
1957.12661 2758.68
1957.37651 3008.88
1957.62645 2561.85
1957.87642 2693.62
1958.12642 2818.86
1958.37645 2678.58
1958.62652 2268.27
1958.87661 3013.61
1959.12674 7135.03
1959.3769 11009.3
1959.62709 6054.53
1959.87731 1676.88
1960.12757 915.42
1960.37786 807.259
1960.62818 1325.82
1960.87853 2173.53
1961.12891 2122.69
1961.37933 1650.46
1961.62978 4275.34
1961.88025 8155.1
1962.13077 5402.54
1962.38131 2177.63
1962.63188 2119.66
1962.88249 2360.97
1963.13313 2352.57
1963.3838 3045.36
1963.63451 3670.73
1963.88524 10305.8
1964.13601 24021
1964.38681 24225.1
1964.63764 10266.7
1964.8885 2243.72
1965.1394 1357.57
1965.39033 1806.94
1965.64129 1611.22
1965.89228 1832.44
1966.1433 1552.4
1966.39436 1178.16
1966.64545 1344.08
1966.89657 942.758
1967.14772 969.982
1967.3989 2105.11
1967.65012 7511.02
1967.90137 14114.5
1968.15265 7806.32
1968.40396 1992.56
1968.6553 1240.42
1968.90668 818.597
1969.15809 893.284
1969.40953 1751.45
1969.661 6245.08
1969.91251 26084.1
1970.16404 42759.4
1970.41561 20414.1
1970.66721 3143.44
1970.91885 1464
1971.17051 1731.92
1971.42221 1958.9
1971.67394 2288.04
1971.9257 1955.96
1972.1775 1630.86
