# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Radiance[photons/s/m**2/micron/arsec**2]
700 91.7862
700.255335 150.448
700.510762 186.677
700.766283 151.393
701.021898 172.416
701.277605 232.793
701.533406 166.09
701.7893 107.86
702.045287 100.115
702.301368 100.045
702.557542 100.271
702.813809 103.093
703.070171 106.616
703.326625 103.829
703.583173 101.241
703.839815 103.621
704.09655 125.407
704.353379 156.835
704.610302 167.182
704.867318 198.673
705.124428 197.736
705.381632 162.968
705.63893 135.647
705.896321 123.693
706.153807 123.969
706.411386 129.871
706.669059 137.871
706.926827 142.674
707.184688 141.877
707.442643 132.204
707.700693 129.529
707.958836 129.503
708.217074 133.747
708.475406 150.806
708.733832 153.873
708.992353 169.12
709.250968 149.792
709.509677 119.935
709.76848 108.529
710.027378 109.468
710.28637 111.864
710.545457 110.92
710.804638 109.372
711.063914 111.802
711.323284 110.928
711.582749 109.448
711.842309 109.212
712.101963 107.39
712.361712 108.814
712.621556 120.686
712.881495 138.281
713.141528 136.866
713.401656 137.765
713.661879 129.359
713.922197 116.117
714.18261 128.534
714.443118 157.248
714.703721 159.59
714.964419 147.985
715.225213 130.822
715.486101 117.844
715.747084 119.189
716.008163 126.926
716.269337 129.498
716.530606 133.891
716.79197 138.827
717.05343 131.88
717.314985 129.734
717.576636 135.681
717.838382 139.928
718.100223 141.371
718.36216 140.621
718.624193 123.204
718.886321 108.828
719.148545 108.736
719.410864 106.087
719.673279 106.984
719.93579 112.019
720.198396 116.437
720.461099 113.348
720.723897 108.601
720.986791 110.888
721.249781 108.736
721.512867 106.496
721.776048 106.717
722.039326 110.851
722.3027 119.377
722.56617 124.637
722.829736 130.676
723.093398 137.505
723.357156 137.91
723.621011 198.59
723.884961 605.78
724.149009 1265.15
724.413152 1387.83
724.677392 1300.6
724.941728 742.092
725.20616 368.75
725.470689 385.857
725.735315 307.408
726.000037 177.904
726.264855 135.931
726.52977 137.329
726.794782 156.534
727.05989 198.377
727.325096 347.509
727.590397 1043.73
727.855796 1663.44
728.121292 923.167
728.386884 573.087
728.652573 763.329
728.918359 460.809
729.184242 218.524
729.450222 248.256
729.716299 308.913
729.982473 225.559
730.248744 301.901
730.515113 479.829
730.781578 319.491
731.048141 184.516
731.314801 253.854
731.581558 765.857
731.848413 1364.72
732.115364 736.345
732.382414 191.203
732.64956 147.402
732.916804 373.221
733.184146 640.348
733.451585 392.144
733.719121 248.014
733.986756 867.604
734.254487 1619.66
734.522317 883.855
734.790244 250.086
735.058269 164.276
735.326391 169.056
735.594612 187.272
735.86293 383.06
736.131346 610.257
736.39986 380.827
736.668473 259.853
736.937183 780.044
737.205991 1410.22
737.474897 780.525
737.743901 239.267
738.013003 149.309
738.282203 132.553
738.551502 137.189
738.820899 160.955
739.090394 312.137
739.359988 472.534
739.629679 299.277
739.899469 189.183
740.169358 474.466
740.439345 822.589
740.70943 469.375
740.979614 164.154
741.249897 139.779
741.520278 164.401
741.790758 155.404
742.061336 138.432
742.332013 136.498
742.602789 170.528
742.873664 359.991
743.144637 580.951
743.41571 372.73
743.686881 337.432
743.958151 503.18
744.22952 321.681
744.500988 155.569
744.772555 126.567
745.044221 125.813
745.315986 126.658
745.58785 124.055
745.859814 132.073
746.131877 170.035
746.404038 216.54
746.6763 254.778
746.94866 349.282
747.22112 465.739
747.493679 506.52
747.766338 388.462
748.039096 399.861
748.311954 453.764
748.584911 475.385
748.857967 289.469
749.131124 164.235
749.40438 182.659
749.677735 229.788
749.95119 181.652
750.224745 143.09
750.4984 133.044
750.772155 125.944
751.046009 123.816
751.319964 128.589
751.594018 164.292
751.868173 213.085
752.142427 269.31
752.416781 673.69
752.691236 1099.31
752.96579 772.224
753.240445 537.04
753.5152 303.775
753.790055 161.018
754.06501 173.833
754.340066 202.634
754.615222 166.504
754.890478 141.325
755.165835 142.195
755.441292 158.043
755.716849 233.668
755.992508 329.022
756.268266 240.708
756.544126 167.635
756.820086 211.396
757.096146 479.888
757.372307 795.407
757.648569 514.414
757.924932 205.339
758.201396 147.598
758.47796 240.569
758.754626 353.367
759.031392 239.595
759.308259 133.078
759.585227 112.204
759.862296 202.116
760.139467 322.691
760.416738 188.203
760.69411 78.3384
760.971584 74.2048
761.249159 90.1177
761.526835 108.845
761.804613 199.204
762.082491 320.77
762.360471 249.406
762.638553 164.581
762.916736 259.979
763.19502 390.747
763.473406 246.917
763.751894 125.328
764.030483 124.176
764.309173 124.738
764.587966 123.367
764.86686 124.114
765.145856 168.078
765.424953 229.245
765.704152 172.099
765.983454 139.993
766.262857 227.52
766.542362 340.083
766.821969 230.6
767.101677 142.064
767.381488 135.66
