# Obtained using Skycalc tool from ESO webpage
# Water vapour content 2.5 mm
Wave[nm] Transmission[no-units]
2109.35498 0.992513
2109.38776 0.992235
2109.42054 0.991021
2109.45333 0.98504
2109.48611 0.976733
2109.5189 0.978556
2109.55168 0.984715
2109.58447 0.984636
2109.61726 0.973713
2109.65004 0.963518
2109.68283 0.973912
2109.71562 0.982893
2109.74841 0.978169
2109.78119 0.966819
2109.81398 0.958762
2109.84677 0.949383
2109.87956 0.949528
2109.91235 0.965896
2109.94515 0.979937
2109.97794 0.986184
2110.01073 0.987853
2110.04352 0.983722
2110.07632 0.976928
2110.10911 0.978987
2110.1419 0.987068
2110.1747 0.991549
2110.2075 0.992483
2110.24029 0.992348
2110.27309 0.991263
2110.30588 0.986302
2110.33868 0.970204
2110.37148 0.951626
2110.40428 0.958684
2110.43708 0.978598
2110.46988 0.989342
2110.50268 0.992256
2110.53548 0.992822
2110.56828 0.992602
2110.60108 0.991916
2110.63388 0.990399
2110.66669 0.984975
2110.69949 0.978137
2110.73229 0.981025
2110.7651 0.987544
2110.7979 0.991073
2110.83071 0.992685
2110.86351 0.993302
2110.89632 0.993352
2110.92912 0.992821
2110.96193 0.990486
2110.99474 0.983529
2111.02755 0.97451
2111.06036 0.966718
2111.09317 0.959921
2111.12598 0.973276
2111.15879 0.987164
2111.1916 0.991202
2111.22441 0.991656
2111.25722 0.991599
2111.29003 0.990187
2111.32284 0.985011
2111.35566 0.980913
2111.38847 0.985758
2111.42129 0.989954
2111.4541 0.990796
2111.48692 0.991698
2111.51973 0.992262
2111.55255 0.991937
2111.58537 0.990713
2111.61818 0.987913
2111.651 0.981783
2111.68382 0.975669
2111.71664 0.974731
2111.74946 0.964687
2111.78228 0.928955
2111.8151 0.884403
2111.84792 0.889375
2111.88074 0.933976
2111.91356 0.967103
2111.94638 0.97974
2111.97921 0.980993
2112.01203 0.978701
2112.04485 0.981988
2112.07768 0.986901
2112.1105 0.989463
2112.14333 0.990213
2112.17616 0.990538
2112.20898 0.991459
2112.24181 0.992361
2112.27464 0.992372
2112.30747 0.990647
2112.34029 0.986892
2112.37312 0.984922
2112.40595 0.986995
2112.43878 0.986462
2112.47161 0.978074
2112.50444 0.959169
2112.53728 0.938934
2112.57011 0.941782
2112.60294 0.967537
2112.63577 0.984413
2112.66861 0.987437
2112.70144 0.986318
2112.73428 0.987567
2112.76711 0.988076
2112.79995 0.986547
2112.83278 0.987665
2112.86562 0.990074
2112.89846 0.991425
2112.9313 0.992255
2112.96413 0.992598
2112.99697 0.99278
2113.02981 0.991728
2113.06265 0.990319
2113.09549 0.991614
2113.12833 0.993182
2113.16117 0.993343
2113.19402 0.992597
2113.22686 0.990517
2113.2597 0.982286
2113.29255 0.969982
2113.32539 0.971825
2113.35823 0.983983
2113.39108 0.990333
2113.42392 0.991105
2113.45677 0.991785
2113.48962 0.992254
2113.52246 0.991705
2113.55531 0.9914
2113.58816 0.991781
2113.62101 0.992375
2113.65386 0.993526
2113.68671 0.994253
2113.71956 0.994349
2113.75241 0.994273
2113.78526 0.99412
2113.81811 0.993792
2113.85096 0.993477
2113.88381 0.99323
2113.91667 0.993043
2113.94952 0.992621
2113.98237 0.990318
2114.01523 0.981123
2114.04808 0.970107
2114.08094 0.976231
2114.1138 0.986842
2114.14665 0.990774
2114.17951 0.991628
2114.21237 0.992775
2114.24523 0.993537
2114.27809 0.993442
2114.31094 0.99301
2114.3438 0.99282
2114.37666 0.99354
2114.40953 0.99409
2114.44239 0.99419
2114.47525 0.993884
2114.50811 0.992433
2114.54097 0.990693
2114.57384 0.991435
2114.6067 0.992888
2114.63956 0.993152
2114.67243 0.992487
2114.70529 0.991015
2114.73816 0.988402
2114.77103 0.980188
2114.80389 0.971516
2114.83676 0.978331
2114.86963 0.987789
2114.9025 0.989418
2114.93537 0.987972
2114.96824 0.989856
2115.00111 0.99186
2115.03398 0.991933
2115.06685 0.990955
2115.09972 0.989094
2115.13259 0.985492
2115.16546 0.983489
2115.19834 0.987073
2115.23121 0.990844
2115.26408 0.991401
2115.29696 0.988359
2115.32983 0.984999
2115.36271 0.987513
2115.39559 0.99119
2115.42846 0.992658
2115.46134 0.99264
2115.49422 0.991285
2115.5271 0.984975
2115.55997 0.975804
2115.59285 0.976597
2115.62573 0.981921
2115.65861 0.983506
2115.69149 0.981988
2115.72437 0.979317
2115.75726 0.983325
2115.79014 0.989125
2115.82302 0.992011
2115.8559 0.992896
2115.88879 0.993035
2115.92167 0.99283
2115.95456 0.992871
2115.98744 0.992699
2116.02033 0.992264
2116.05321 0.991536
2116.0861 0.988233
2116.11899 0.981565
2116.15188 0.975934
2116.18477 0.971767
2116.21765 0.968955
2116.25054 0.975194
2116.28343 0.981455
2116.31632 0.979113
2116.34921 0.977042
2116.38211 0.984883
2116.415 0.991155
2116.44789 0.992302
2116.48078 0.990541
2116.51368 0.984913
2116.54657 0.98022
2116.57947 0.985029
2116.61236 0.990575
2116.64526 0.992398
2116.67815 0.993067
2116.71105 0.993763
2116.74395 0.994207
2116.77684 0.994351
2116.80974 0.99425
2116.84264 0.993819
2116.87554 0.992928
2116.90844 0.990638
2116.94134 0.984815
2116.97424 0.980538
2117.00714 0.985813
2117.04004 0.990042
2117.07294 0.986619
2117.10585 0.98107
2117.13875 0.984389
2117.17165 0.989991
2117.20456 0.992395
2117.23746 0.992723
2117.27037 0.992536
2117.30327 0.991641
2117.33618 0.988842
2117.36909 0.982736
2117.40199 0.979267
2117.4349 0.986049
2117.46781 0.99197
2117.50072 0.993472
2117.53363 0.993649
2117.56654 0.993572
2117.59945 0.99291
2117.63236 0.991589
2117.66527 0.990971
2117.69818 0.991255
2117.73109 0.990721
2117.76401 0.98785
2117.79692 0.981021
2117.82983 0.975569
2117.86275 0.97797
2117.89566 0.980438
2117.92858 0.986158
2117.9615 0.990247
2117.99441 0.991333
2118.02733 0.991949
2118.06025 0.992166
2118.09316 0.99178
2118.12608 0.991033
2118.159 0.99086
2118.19192 0.989563
2118.22484 0.983391
2118.25776 0.976453
2118.29068 0.980664
2118.3236 0.986608
2118.35653 0.987664
2118.38945 0.98542
2118.42237 0.980772
2118.4553 0.972489
2118.48822 0.951779
2118.52115 0.901151
2118.55407 0.832896
2118.587 0.822386
2118.61992 0.883672
2118.65285 0.933867
2118.68578 0.950078
2118.7187 0.961475
2118.75163 0.976831
2118.78456 0.985884
2118.81749 0.988996
2118.85042 0.990447
