# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Radiance[photons/s/m**2/micron/arsec**2]
1550 7127.64
1550.02919 53750.8
1550.05839 113032
1550.08759 106418
1550.11678 113018
1550.14598 53763.4
1550.17518 7311.5
1550.20438 909.405
1550.23357 704.295
1550.26277 702.333
1550.29197 701.942
1550.32117 701.539
1550.35037 701.127
1550.37958 700.71
1550.40878 700.288
1550.43798 699.863
1550.46718 699.43
1550.49639 698.941
1550.52559 698.242
1550.5548 697.255
1550.584 696.416
1550.61321 696.059
1550.64241 695.951
1550.67162 695.994
1550.70083 695.81
1550.73004 695.518
1550.75925 695.217
1550.78845 694.791
1550.81766 694.164
1550.84687 696.439
1550.87609 1079.1
1550.9053 13336.9
1550.93451 111062
1550.96372 295156
1550.99293 295373
1551.02215 111251
1551.05136 13359.8
1551.08058 1075.15
1551.10979 691.406
1551.13901 688.735
1551.16822 688.639
1551.19744 688.391
1551.22666 688.316
1551.25588 688.198
1551.2851 687.901
1551.31431 687.508
1551.34353 687.066
1551.37275 686.561
1551.40197 685.979
1551.4312 685.498
1551.46042 685.245
1551.48964 684.916
1551.51886 684.373
1551.54809 683.662
1551.57731 682.893
1551.60654 682.387
1551.63576 682.18
1551.66499 683.711
1551.69421 821.45
1551.72344 4384.83
1551.75267 31108.5
1551.78189 80794.3
1551.81112 80863.7
1551.84035 30816.4
1551.86958 4135.92
1551.89881 784.737
1551.92804 679.446
1551.95727 677.803
1551.98651 676.074
1552.01574 672.365
1552.04497 668.453
1552.0742 669.414
1552.10344 673.015
1552.13267 674.794
1552.16191 674.837
1552.19114 674.217
1552.22038 673.66
1552.24962 673.627
1552.27885 673.618
1552.30809 673.298
1552.33733 672.902
1552.36657 672.617
1552.39581 672.305
1552.42505 671.923
1552.45429 671.506
1552.48353 671.071
1552.51277 670.653
1552.54201 670.238
1552.57126 669.726
1552.6005 668.924
1552.62974 667.869
1552.65899 667.338
1552.68823 667.573
1552.71748 667.651
1552.74672 667.376
1552.77597 666.985
1552.80522 666.539
1552.83447 666.048
1552.86371 665.586
1552.89296 665.207
1552.92221 664.883
1552.95146 664.507
1552.98071 664.077
1553.00996 663.661
1553.03921 663.25
1553.06847 662.759
1553.09772 662.035
1553.12697 661.096
1553.15623 660.512
1553.18548 660.542
1553.21474 660.584
1553.24399 660.359
1553.27325 659.995
1553.3025 659.582
1553.33176 659.163
1553.36102 658.769
1553.39028 658.376
1553.41954 657.971
1553.44879 657.554
1553.47805 657.114
1553.50731 656.673
1553.53658 656.281
1553.56584 655.897
1553.5951 655.479
1553.62436 655.005
1553.65363 654.508
1553.68289 654.104
1553.71215 653.762
1553.74142 653.344
1553.77068 652.829
1553.79995 652.349
1553.82922 652.008
1553.85848 658.106
1553.88775 1470.85
1553.91702 26874.8
1553.94629 210441
1553.97556 420237
1554.00483 211259
1554.0341 53088.9
1554.06337 211195
1554.09264 420108
1554.12191 210374
1554.15118 26862
1554.18046 1464.59
1554.20973 651.265
1554.239 643.826
1554.26828 642.664
1554.29755 643.013
1554.32683 644.038
1554.35611 644.395
1554.38538 644.219
1554.41466 643.886
1554.44394 643.504
1554.47322 647.546
1554.5025 1211.51
1554.53178 18849.8
1554.56106 146857
1554.59034 310240
1554.61962 291588
1554.6489 308707
1554.67818 146041
1554.70747 18744.8
1554.73675 1209.91
1554.76603 823.066
1554.79532 2081.98
1554.8246 3525.77
1554.85389 2081.61
1554.88318 817.833
1554.91246 642.58
1554.94175 636.534
1554.97104 635.975
1555.00033 635.469
1555.02961 635.086
1555.0589 634.765
1555.08819 634.438
1555.11749 634.068
1555.14678 633.656
1555.17607 633.189
1555.20536 632.593
1555.23465 632.002
1555.26395 631.722
1555.29324 631.521
1555.32254 631.198
1555.35183 630.808
1555.38113 630.402
1555.41042 629.994
1555.43972 629.583
1555.46902 629.173
1555.49831 628.761
1555.52761 628.349
1555.55691 627.935
1555.58621 627.521
1555.61551 627.109
1555.64481 626.7
1555.67411 626.29
1555.70342 625.877
1555.73272 625.464
1555.76202 625.05
1555.79132 624.64
1555.82063 624.229
1555.84993 623.818
1555.87924 623.404
1555.90854 622.98
1555.93785 622.505
1555.96716 622.022
1555.99646 621.67
1556.02577 621.321
1556.05508 620.92
1556.08439 620.502
1556.1137 620.076
1556.14301 619.634
1556.17232 619.337
1556.20163 620.274
1556.23094 621.519
1556.26025 619.519
1556.28957 617.539
1556.31888 616.646
1556.34819 616.194
1556.37751 616.164
1556.40682 616.991
1556.43614 618.219
1556.46546 617.226
1556.49477 615.356
1556.52409 614.385
1556.55341 613.916
1556.58272 613.506
1556.61204 613.094
1556.64136 612.676
1556.67068 612.258
1556.7 611.848
1556.72932 611.438
1556.75865 611.017
1556.78797 610.557
1556.81729 609.942
1556.84661 609.238
1556.87594 610.333
1556.90526 797.907
1556.93459 6916.68
1556.96391 59226.8
1556.99324 183069
1557.02257 222285
1557.05189 93540
1557.08122 11663.6
1557.11055 947.235
1557.13988 608.319
1557.16921 605.247
1557.19854 604.814
1557.22787 604.381
1557.2572 604.203
1557.28653 605.699
1557.31586 607.448
1557.3452 604.685
1557.37453 602.385
1557.40386 611.809
1557.4332 925.641
1557.46253 3195.27
1557.49187 5789.13
1557.5212 3194.51
1557.55054 924.17
1557.57988 609.89
1557.60921 601.521
1557.63855 603.457
1557.66789 600.653
1557.69723 598.138
1557.72657 597.43
1557.75591 596.989
1557.78525 596.557
1557.81459 596.161
1557.84394 595.767
1557.87328 595.359
1557.90262 594.943
1557.93196 594.514
1557.96131 594.076
1557.99065 593.659
1558.02 593.248
1558.04935 592.77
1558.07869 592.07
1558.10804 591.214
1558.13739 590.773
1558.16673 590.737
1558.19608 590.584
1558.22543 590.235
1558.25478 589.872
1558.28413 589.516
1558.31348 589.127
1558.34283 588.708
1558.37219 588.304
1558.40154 587.912
1558.43089 587.509
1558.46025 587.093
1558.4896 586.663
1558.51896 586.199
1558.54831 585.718
1558.57767 585.29
1558.60702 584.929
1558.63638 584.557
1558.66574 584.126
1558.6951 583.561
1558.72445 582.62
1558.75381 581.393
1558.78317 580.875
1558.81253 581.231
1558.84189 581.383
1558.87126 581.101
1558.90062 580.725
1558.92998 580.375
1558.95934 580.025
1558.98871 579.641
1559.01807 579.22
1559.04744 578.771
1559.0768 578.313
1559.10617 577.882
1559.13553 577.511
1559.1649 577.153
1559.19427 576.76
1559.22364 576.334
1559.253 575.884
1559.28237 575.379
1559.31174 574.694
1559.34111 574.018
1559.37048 573.824
1559.39986 573.686
1559.42923 573.362
1559.4586 572.958
1559.48797 572.496
1559.51735 572.019
1559.54672 571.617
1559.5761 571.278
1559.60547 570.907
1559.63485 579.342
1559.66422 1712.25
1559.6936 37957
1559.72298 326796
1559.75236 870251
1559.78173 869892
1559.81111 326476
1559.84049 37907.4
1559.86987 1707.52
1559.89925 575.648
1559.92864 566.412
1559.95802 566.007
1559.9874 565.568
1560.01678 565.008
1560.04617 564.176
1560.07555 563.496
1560.10494 579.823
1560.13432 1095.82
1560.16371 4823.77
1560.19309 9084.14
1560.22248 4823.02
1560.25187 1094.47
1560.28125 578.098
1560.31064 561.14
1560.34003 560.506
1560.36942 559.984
1560.39881 559.615
1560.4282 559.331
1560.45759 558.979
1560.48699 558.572
1560.51638 558.171
1560.54577 557.769
1560.57516 557.356
1560.60456 556.935
1560.63395 556.501
1560.66335 556.046
1560.69274 555.578
1560.72214 555.144
1560.75154 554.642
1560.78093 553.98
1560.81033 553.346
1560.83973 552.68
1560.86913 551.912
1560.89853 551.711
1560.92793 551.872
1560.95733 551.792
1560.98673 551.478
1561.01613 551.089
1561.04554 550.688
1561.07494 550.285
1561.10434 549.885
1561.13375 549.483
1561.16315 549.06
1561.19256 548.579
1561.22196 548.022
1561.25137 547.501
1561.28078 547.142
1561.31018 546.845
1561.33959 546.444
1561.369 545.988
1561.39841 545.655
1561.42782 545.334
1561.45723 544.951
1561.48664 544.542
1561.51605 544.132
1561.54546 543.722
1561.57487 543.311
1561.60429 542.897
1561.6337 542.483
1561.66311 542.067
1561.69253 541.652
1561.72194 541.239
1561.75136 540.823
1561.78078 540.404
1561.81019 539.993
1561.83961 539.581
1561.86903 539.164
1561.89845 538.746
1561.92787 538.33
1561.95728 537.911
1561.9867 537.481
1562.01613 537.042
1562.04555 536.609
1562.07497 536.183
1562.10439 535.727
1562.13381 535.174
1562.16324 534.25
1562.19266 532.403
1562.22209 530.543
1562.25151 530.891
1562.28094 532.055
1562.31036 532.451
1562.33979 532.229
1562.36922 531.62
1562.39864 530.283
1562.42807 528.581
1562.4575 528.337
1562.48693 529.185
1562.51636 529.59
1562.54579 529.455
1562.57522 529.137
1562.60465 528.756
1562.63409 528.339
1562.66352 527.913
1562.69295 527.499
1562.72239 527.062
1562.75182 526.608
1562.78126 526.393
1562.81069 550.654
1562.84013 1321.76
1562.86957 6896.95
1562.899 13268.7
1562.92844 6895.46
1562.95788 1318.53
1562.98732 547.449
1563.01676 666.753
1563.0462 5160.65
1563.07564 38639.3
1563.10508 109064
1563.13452 313258
1563.16396 556543
1563.19341 276361
1563.22285 34983
1563.25229 1596.5
1563.28174 527.658
1563.31118 518.867
1563.34063 518.464
1563.37007 518.054
1563.39952 517.643
1563.42897 517.232
1563.45842 516.819
1563.48787 516.404
1563.51731 515.989
1563.54676 515.573
1563.57621 515.156
1563.60566 514.741
1563.63512 514.324
1563.66457 513.903
1563.69402 513.478
1563.72347 513.041
1563.75293 512.571
1563.78238 511.975
1563.81183 511.006
1563.84129 509.867
1563.87074 509.555
1563.9002 509.898
1563.92966 509.956
1563.95911 509.673
1563.98857 509.289
1564.01803 508.889
1564.04749 508.487
1564.07695 508.074
1564.10641 507.635
1564.13587 507.112
1564.16533 506.348
1564.19479 505.457
1564.22425 505.05
1564.25372 505.01
1564.28318 504.75
1564.31264 504.285
1564.34211 503.481
1564.37157 502.015
1564.40104 500.832
1564.43051 501.152
1564.45997 501.898
1564.48944 502.041
1564.51891 501.787
1564.54838 501.428
1564.57784 501.038
1564.60731 500.638
1564.63678 500.232
1564.66625 499.823
1564.69573 499.412
1564.7252 498.998
1564.75467 498.583
1564.78414 498.172
1564.81362 497.761
1564.84309 497.348
1564.87256 496.934
1564.90204 496.519
1564.93152 496.105
