# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Radiance[photons/s/m**2/micron/arsec**2]
1150 191.886
1150.08581 252.071
1150.17163 290.241
1150.25745 326.584
1150.34328 343.966
1150.42912 343.523
1150.51496 338.939
1150.60081 348.716
1150.68667 505.522
1150.77253 1629.64
1150.8584 2920.57
1150.94428 1632
1151.03016 520.737
1151.11605 471.07
1151.20194 560.355
1151.28784 372.809
1151.37375 275.056
1151.45966 321.283
1151.54558 371.009
1151.63151 592.553
1151.71744 1407.24
1151.80338 2029.08
1151.88933 1102.8
1151.97528 341.227
1152.06124 209.144
1152.1472 272.968
1152.23318 330.234
1152.31915 345.079
1152.40514 341.176
1152.49113 303.423
1152.57713 208.286
1152.66313 114.988
1152.74914 142.232
1152.83516 260.249
1152.92118 331.714
1153.00721 350.655
1153.09324 355.167
1153.17929 355.08
1153.26533 349.934
1153.35139 342.85
1153.43745 340.847
1153.52352 331.973
1153.60959 544.226
1153.69567 8017.44
1153.78176 62201.4
1153.86785 124132
1153.95395 62194.4
1154.04006 7975.87
1154.12617 519.152
1154.21229 310.312
1154.29842 300.079
1154.38455 300.4
1154.47069 302.374
1154.55683 325.487
1154.64298 346.785
1154.72914 352.557
1154.81531 349.2
1154.90148 339.075
1154.98765 464.967
1155.07384 684.324
1155.16003 532.488
1155.24622 373.889
1155.33243 330.906
1155.41864 306.423
1155.50485 326.277
1155.59107 334.55
1155.6773 274.772
1155.76354 200.591
1155.84978 248.984
1155.93603 321.082
1156.02228 346.07
1156.10854 350.976
1156.19481 352.102
1156.28108 408.136
1156.36736 2209.12
1156.45365 15284.6
1156.53994 30246.8
1156.62624 15299.8
1156.71255 2219.01
1156.79886 410.226
1156.88518 352.117
1156.9715 355.22
1157.05783 353.751
1157.14417 332.279
1157.23052 308.128
1157.31687 323.389
1157.40322 331.957
1157.48959 334.758
1157.57596 345.506
1157.66233 337.587
1157.74872 286.657
1157.83511 224.914
1157.9215 263.231
1158.0079 328.273
1158.09431 353.029
1158.18073 357.253
1158.26715 358.445
1158.35358 356.975
1158.44001 341.698
1158.52645 328.113
1158.6129 343.21
1158.69936 355.448
1158.78582 353.871
1158.87228 451.52
1158.95876 4379.38
1159.04524 36295.2
1159.13172 98522.1
1159.21822 101839
1159.30471 39237.2
1159.39122 4840.85
1159.47773 484.566
1159.56425 341.656
1159.65078 319.943
1159.73731 297.121
1159.82384 324.803
1159.91039 350.036
1159.99694 345.394
1160.0835 329.775
1160.17006 331.724
1160.25663 322.518
1160.34321 277.518
1160.42979 262.999
1160.51638 314.576
1160.60298 347.022
1160.68958 339.321
1160.77619 321.714
1160.8628 329.332
1160.94942 347.807
1161.03605 356.461
1161.12269 353.596
1161.20933 343.697
1161.29598 340.391
1161.38263 333.793
1161.46929 319.328
1161.55596 332.893
1161.64263 344.091
1161.72931 343.032
1161.816 350.776
1161.90269 355.576
1161.98939 352.855
1162.0761 347.774
1162.16281 343.808
1162.24953 319.173
1162.33625 288.032
1162.42299 314.363
1162.50972 412.362
1162.59647 2798.97
1162.68322 19974.2
1162.76998 39597.1
1162.85674 19980.6
1162.94351 2812.98
1163.03029 435.81
1163.11707 358.194
1163.20386 355.971
1163.29066 358.484
1163.37746 362.91
1163.46427 360.415
1163.55109 344.421
1163.63791 334.479
1163.72474 331.848
1163.81157 323.857
1163.89842 340.35
1163.98527 354.213
1164.07212 353.823
1164.15898 351.404
1164.24585 352.877
1164.33272 353.65
1164.4196 354.877
1164.50649 355.404
1164.59339 353.744
1164.68029 354.126
1164.76719 439.811
1164.85411 3183.3
1164.94103 25337.2
1165.02795 68801.4
1165.11488 71497.7
1165.20182 27685.5
1165.28877 3487.47
1165.37572 438.536
1165.46268 355.147
1165.54964 356.553
1165.63662 347.92
1165.72359 325.153
1165.81058 308.248
1165.89757 321.011
1165.98457 338.006
1166.07157 341.914
1166.15858 349.278
1166.2456 354.184
1166.33262 355.873
1166.41965 352.878
1166.50669 348.994
1166.59373 349.534
1166.68078 337.504
1166.76784 322.179
1166.8549 337.857
1166.94197 350.718
1167.02904 350.28
1167.11613 346.367
1167.20321 341.378
1167.29031 349.594
1167.37741 356.02
1167.46452 356.395
1167.55163 355.976
1167.63875 350.763
1167.72588 341.822
1167.81302 342.522
1167.90016 348.635
1167.9873 351.939
1168.07446 356.191
1168.16162 357.378
1168.24878 351.195
1168.33596 338.284
1168.42314 332.16
1168.51032 341.878
1168.59751 352.384
1168.68471 355.859
1168.77192 352.996
1168.85913 349.907
1168.94635 353.557
