# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Radiance[photons/s/m**2/micron/arsec**2]
800 268.345
800.4001 227.615
800.8004 199.063
801.2009 201.521
801.601601 1050.18
802.002502 227.549
802.403604 366.833
802.804906 2657.63
803.206409 488.075
803.608112 213.393
804.010017 197.223
804.412122 217.483
804.814429 195.219
805.216937 263.115
805.619646 735.262
806.022556 202.586
806.425668 1299.45
806.828982 214.71
807.232497 188.569
807.636215 224.501
808.040134 257.342
808.444255 190.475
808.848578 302.668
809.253103 191.392
809.657831 454.857
810.062761 196.868
810.467894 703.639
810.873229 227.574
811.278767 212.688
811.684508 197.431
812.090452 199.666
812.496598 209.772
812.902948 219.859
813.309501 230.756
813.716258 229.393
814.123218 356.211
814.530381 199.818
814.937748 436.581
815.345319 207.138
815.753093 192.83
816.161072 194.242
816.569255 180.326
816.977641 196.479
817.386232 195.292
817.795028 193.629
818.204027 192.344
818.613232 201.218
819.022641 270.364
819.432254 198.83
819.842073 294.631
820.252096 201.337
820.662325 224.928
821.072759 247.893
821.483398 221.211
821.894242 221.751
822.305292 209.186
822.716548 202.516
823.128009 185.968
823.539676 198.176
823.951548 212.834
824.363627 268.157
824.775912 254.466
825.188403 249.53
825.6011 249.648
826.014004 209.021
826.427115 217.377
826.840431 221.018
827.253955 230.851
827.667685 214.336
828.081623 1037.38
828.495767 2013.76
828.910119 2952.3
829.324677 354.93
829.739443 1074.65
830.154417 2815.77
830.569598 405.042
830.984986 241.316
831.400583 1162.29
831.816387 275.78
832.232399 296.417
832.648619 233.322
833.065048 230.985
833.481684 232.641
833.898529 338.854
834.315583 232.47
834.732845 7654.8
835.150316 443.698
835.567995 2499.12
835.985884 251.64
836.403981 490.906
836.822288 1064.5
837.240804 252.284
837.659529 275.249
838.078463 350.354
838.497607 1931.95
838.916961 262.174
839.336524 331.755
839.756297 257.652
840.176281 5756.45
840.596474 249.559
841.016877 250.095
841.437491 251.937
841.858315 2240.37
842.279349 253.439
842.700594 364.755
843.12205 5614.25
843.543716 392.235
843.965593 264.283
844.387682 257.882
844.809981 312.081
845.232492 288.672
845.655214 2028.73
846.078147 280.901
846.501292 299.556
846.924648 4782.42
847.348217 264.374
847.771997 379.622
848.195989 265.807
848.620193 267.03
849.044609 267.673
849.469237 1561.08
849.894078 331.83
850.319131 363.232
850.744397 2540.2
851.169876 272.318
851.595567 272.587
852.021471 273.715
852.447589 338.17
852.873919 275.787
853.300463 276.689
853.72722 277.437
854.15419 2159.28
854.581374 318.957
855.008771 1137.44
855.436383 281.096
855.864208 282.049
856.292247 282.993
856.7205 283.997
857.148967 284.743
857.577649 423.48
858.006545 341.731
858.435656 287.139
858.864981 507.174
859.294521 288.046
859.724275 453.436
860.154245 456.658
860.58443 308.157
861.014829 322.814
861.445444 394.207
861.876275 724.322
862.307321 716.316
862.738582 1291.66
863.170059 1236.29
863.601752 1725.95
864.033661 918.032
864.465786 484.135
864.898127 737.025
865.330684 1474.26
865.763458 1660.55
866.196448 1759.82
866.629654 1687.73
867.063077 857.799
867.496717 1325.63
867.930574 746.73
868.364648 890.36
868.798939 655.461
869.233447 394.655
869.668172 411.202
870.103115 532.781
870.538275 337.193
870.973653 524.361
871.409249 323.361
871.845063 314.374
872.281094 308.945
872.717344 355.582
873.153812 303.805
873.590498 304.133
874.027402 359.291
874.464525 372.701
874.901867 315.745
875.339427 354.483
875.777206 305.86
876.215204 5341.55
876.653421 443.366
877.091858 5702.09
877.530513 337.958
877.969388 6299.79
878.408483 307.829
878.847797 308.201
879.287331 2156.53
879.727084 308.947
880.167058 309.217
880.607251 327.094
881.047665 508.214
881.488299 390.066
881.929153 310.637
882.370228 310.695
882.811524 11846.3
883.25304 578.697
883.694777 5232.28
884.136734 399.7
884.578913 380.28
885.021313 1072.12
885.463935 964.791
885.906777 312.969
886.349842 515.818
886.793127 3362.39
887.236635 318.332
887.680364 315.083
888.124315 314.525
888.568488 333.28
889.012884 8686.57
889.457501 372.994
889.902341 476.577
890.347404 3739.99
890.792689 392.23
891.238196 504.154
891.683927 334.518
892.12988 9389.67
892.576057 381.479
893.022456 557.117
893.469079 366.907
893.915925 393.838
894.362995 1369.94
894.810289 2268.52
895.257806 313.944
895.705546 314.215
896.153511 7784.63
896.6017 325.078
897.050113 352.198
897.49875 465.513
897.947612 379.552
898.396698 503.713
898.846008 436.638
899.295544 2424.45
899.745304 333.552
900.195289 4346.33
900.645499 306.962
901.095935 309.704
901.546595 311.018
901.997481 295.042
902.448593 405.961
902.89993 359.617
903.351493 375.988
903.803281 326.416
904.255296 1348.99
904.707537 367.101
905.160004 2295.93
905.612697 347.793
906.065616 377.085
906.518762 392.071
906.972135 478.069
907.425735 383.128
907.879561 336.189
908.333614 327.463
908.787895 315.844
909.242402 353.316
909.697137 949.56
910.152099 337.899
910.607289 1271.2
911.062707 322.073
911.518352 331.693
911.974225 302.91
912.430326 332.177
912.886655 323.419
913.343213 306.68
913.799999 356.615
914.257013 348.767
914.714256 333.444
915.171727 407.383
915.629427 739.617
916.087357 467.436
916.545515 856.308
917.003902 327.762
917.462519 314.074
917.921365 322.822
918.38044 333.645
918.839745 323.103
919.29928 332.958
919.759045 324.057
920.219039 346.363
920.679264 346.029
921.139718 354.941
921.600403 342.104
922.061319 652.003
922.522465 626.268
922.983841 543.933
923.445449 337.546
923.907287 333.24
924.369356 335.722
924.831656 332.842
925.294188 335.676
925.75695 340.605
926.219945 335.368
926.68317 340.155
927.146628 341.971
927.610317 336.098
928.074238 317.58
928.538391 329.898
929.002777 329.96
929.467394 329.028
929.932244 310.669
930.397326 307.007
930.862641 4152.05
931.328189 2290.82
931.79397 4884.98
932.259983 433.296
932.72623 5792.88
933.192709 328.017
933.659422 240.768
934.126369 1713.07
934.593549 162.993
935.060962 323.442
935.52861 232.229
935.996491 223.841
936.464606 326.985
936.932956 258.213
937.401539 218.592
937.870357 12849.6
938.33941 632.973
938.808697 361.652
939.278219 333.617
939.747975 509.506
940.217967 301.824
940.688193 2027.12
941.158655 285.184
941.629352 334.935
942.100284 2864.44
942.571452 862.763
943.042856 219.161
943.514495 314.343
943.98637 4190.91
944.458481 4085.99
944.930829 493.665
945.403412 327.489
945.876232 1908.27
946.349289 1884.84
946.822581 324.316
947.296111 308.54
947.769878 7974.82
948.243881 293.235
948.718122 325.32
949.192599 344.39
949.667314 269.98
950.142267 246.996
950.617456 3089.79
951.092884 353.874
951.568549 345.76
952.044453 5037.88
952.520594 284.743
952.996973 292.465
953.473591 347.413
953.950447 314.235
954.427541 310.959
954.904875 301.157
955.382446 2119.04
955.860257 285.734
956.338307 338.185
956.816595 4240.19
957.295123 325.124
957.77389 355.796
958.252897 298.328
958.732143 355.017
959.211629 292.082
959.691355 321.014
960.171321 333.321
960.651526 326.429
961.131972 1174.47
961.612658 342.538
962.093585 1246.8
962.574752 659.606
963.05616 338.422
963.537808 370.157
964.019698 320.185
964.501828 353.778
964.9842 322.629
965.466812 417.53
965.949666 624.356
966.432762 449.832
966.916099 1624.81
967.399678 354.002
967.883499 852.25
968.367562 3658.73
968.851867 373.864
969.336414 1626.07
969.821203 375.884
970.306235 5929.58
970.791509 378.49
971.277026 2694.02
971.762786 362.277
972.248789 7493.73
972.735035 362.465
973.221524 372.935
973.708257 459.702
974.195233 2945.51
974.682452 554.025
975.169915 363.226
975.657622 367.013
976.145573 362.153
976.633768 358.791
977.122207 381.823
977.61089 378.263
978.099817 373.971
978.58899 369.313
979.078406 2391.61
979.568068 16635.9
980.057975 7360.56
980.548126 371.383
981.038523 646.187
981.529165 2474.63
982.020052 429.549
982.511185 460.992
983.002563 937.704
983.494187 384.782
983.986057 388.905
984.478173 385.395
984.970536 4751.57
985.463144 390.033
985.955999 390.816
986.4491 391.941
986.942448 393.953
987.436043 14566.2
987.929884 392.324
988.423973 393.493
988.918308 399.463
989.412891 394.17
989.907721 5590.12
990.402799 396.74
990.898124 395.088
991.393697 395.754
991.889518 14949.4
992.385586 396.335
992.881903 395.644
993.378468 397.195
993.875282 398.241
994.372344 5312.48
994.869654 12324.7
995.367213 719.601
995.865021 7861.14
996.363078 9992.4
996.861384 400.086
997.35994 2287.72
997.858744 455.568
998.357799 428.545
998.857102 401.656
999.356656 401.82
999.856459 402.61
1000.35651 2421.16
1000.85682 403.548
1001.35737 14232.9
1001.85817 4666.45
1002.35923 828.219
1002.86053 5465.56
1003.36209 408.697
1003.86389 589.996
1004.36595 405.97
1004.86826 2381.23
1005.37082 406.63
1005.87363 407.374
1006.37669 3888.98
1006.88001 1104.61
1007.38357 1872.21
1007.88739 408.394
1008.39146 9262.84
1008.89578 409.218
1009.40036 437.931
1009.90518 626.19
1010.41026 4015.22
1010.91559 411.227
1011.42118 411.698
1011.92701 411.577
1012.43311 5842.96
1012.93945 5635.82
1013.44604 854.937
1013.95289 413.756
1014.46 581.564
1014.96735 1152.58
1015.47496 3944.3
1015.98283 2754.32
1016.49095 1599.43
1016.99932 418.211
1017.50795 14872.6
1018.01683 416.89
1018.52596 3357.51
1019.03535 13030.3
1019.545 462.275
1020.0549 495.713
1020.56505 5584.19
1021.07546 2541.28
1021.58613 15972.1
1022.09705 420.475
1022.60823 2834.41
1023.11966 8420.98
1023.63135 420.572
1024.14329 420.994
1024.65549 422.068
1025.16795 422.329
1025.68066 422.651
1026.19363 423.082
1026.70685 431.092
1027.22033 1538.44
1027.73407 424.034
1028.24807 425.238
1028.76232 47384
1029.27683 1033.56
1029.7916 15433.9
1030.30662 426.416
1030.8219 933.431
1031.33744 5088.38
1031.85324 427.613
1032.3693 604.681
1032.88561 1738.96
1033.40218 434.567
1033.91901 437.197
1034.4361 898.4
1034.95345 9252.12
1035.47105 1267.13
1035.98892 813.124
1036.50704 449.942
1037.02543 452.441
1037.54407 29624.1
1038.06297 516.426
1038.58213 460.185
1039.10155 462.753
1039.62123 465.279
1040.14117 11362.2
1040.66138 472.755
1041.18184 482.234
1041.70256 630.155
1042.22354 31098.3
1042.74478 480.713
1043.26628 763.433
1043.78805 485.839
1044.31007 485.309
1044.83236 482.775
1045.3549 8793.88
1045.87771 475.031
1046.40078 471.729
1046.92411 10545.9
1047.44771 10537.5
1047.97156 461.799
1048.49568 458.481
1049.02006 454.978
1049.5447 451.481
1050.0696 491.033
1050.59477 445.08
1051.1202 4945.09
1051.64589 475.104
1052.17184 434.882
1052.69806 10038.8
1053.22454 428.222
1053.75128 424.848
1054.27829 421.474
1054.80556 418.037
1055.3331 414.621
1055.8609 411.173
1056.38896 407.723
1056.91728 404.255
1057.44588 2165.27
1057.97473 397.309
1058.50385 393.865
1059.03323 3857.81
1059.56288 387.013
1060.0928 391.49
1060.62298 388.147
1061.15342 376.83
1061.68413 373.524
1062.2151 372.886
1062.74634 376.654
1063.27785 380.317
1063.80962 384.064
1064.34166 914.897
1064.87396 391.263
1065.40653 1355.05
1065.93937 399.001
1066.47247 402.94
1067.00584 406.802
1067.53948 410.591
1068.07338 414.423
1068.60755 708.624
1069.14199 1596.11
1069.6767 977.725
1070.21167 3886.44
1070.74691 2168.02
1071.28241 9398.13
1071.81819 565.136
1072.35423 4534.96
1072.89054 660.718
1073.42712 17420.1
1073.96397 460.259
1074.50109 7342.59
1075.03847 467.718
1075.57613 20764.9
1076.11405 476.29
1076.65224 480.052
1077.1907 483.646
1077.72943 7525.92
1078.26843 491.367
1078.8077 496.332
1079.34724 521.465
1079.88705 503.872
1080.42712 539.333
1080.96747 511.712
1081.50809 513.154
1082.04898 518.391
1082.59014 514.815
1083.13157 6063.61
1083.67327 51866.4
1084.21524 20909.8
1084.75749 495.794
1085.3 1154.78
1085.84279 6784.56
1086.38585 473.173
1086.92917 477.234
1087.47277 711.707
1088.01665 2311.08
1088.56079 469.41
1089.10521 458.06
1089.6499 11639.8
1090.19486 837.197
1090.74009 445.613
1091.2856 443.135
1091.83138 438.56
1092.37743 25293.3
1092.92375 12119.2
1093.47035 516.873
1094.01722 418.847
1094.56437 411.909
1095.11179 14449
1095.65948 401.566
1096.20745 398.022
1096.75569 413.734
1097.3042 40041.3
1097.85299 378.822
1098.40206 381.337
1098.9514 372.908
1099.50101 363.46
1100.0509 363.631
1100.60106 363.353
1101.1515 11329.7
1101.70221 350.45
1102.2532 344.76
1102.80446 27096.7
1103.356 343.907
1103.90782 347.494
1104.45991 331.164
1105.01228 342.9
1105.56493 334.602
1106.11785 327.582
1106.67104 330.156
1107.22452 6432.86
1107.77827 330.754
1108.3323 317.333
1108.8866 13704.3
1109.44118 327.35
1109.99604 326.547
1110.55118 307.31
