# Obtained using Skycalc tool from ESO webpage
# Water vapour content 2.5 mm
Wave[nm] Transmission[no-units]
1400 0.0479535
1400.28003 0.0673862
1400.56011 0.00632418
1400.84025 0.0270468
1401.12045 0.10242
1401.4007 0.00674701
1401.68101 0.0437151
1401.96137 0.387676
1402.24179 0.514665
1402.52227 0.715783
1402.8028 0.411289
1403.08339 0.210991
1403.36404 0.473159
1403.64474 0.441766
1403.92549 0.304684
1404.20631 0.126222
1404.48718 0.0656376
1404.7681 0.0982104
1405.04908 0.00485464
1405.33012 0.0371294
1405.61121 0.515964
1405.89237 0.508103
1406.17357 0.4867
1406.45483 0.610677
1406.73615 0.0763057
1407.01753 0.0132005
1407.29896 0.0202464
1407.58045 0.129877
1407.86199 0.60019
1408.14359 0.61179
1408.42525 0.295415
1408.70696 0.570754
1408.98873 0.0924082
1409.27056 0.0547038
1409.55244 0.00545241
1409.83438 0.171041
1410.11638 0.373366
1410.39843 0.399818
1410.68053 0.370634
1410.9627 0.477467
1411.24492 0.301386
1411.5272 0.338991
1411.80953 0.6683
1412.09192 0.390223
1412.37437 0.130609
1412.65687 0.543935
1412.93943 0.84283
1413.22205 0.757333
1413.50472 0.303561
1413.78745 0.398241
1414.07023 0.177786
1414.35308 0.192426
1414.63598 0.0565886
1414.91893 0.160451
1415.20194 0.309906
1415.48501 0.254352
1415.76814 0.505181
1416.05132 0.684946
1416.33456 0.843222
1416.61785 0.533317
1416.9012 0.512181
1417.18461 0.610979
1417.46808 0.450456
1417.7516 0.366597
1418.03518 0.409506
1418.31881 0.766759
1418.60251 0.481389
1418.88626 0.137905
1419.17006 0.0990474
1419.45392 0.146667
1419.73784 0.29606
1420.02182 0.257907
1420.30585 0.707504
1420.58994 0.216543
1420.87409 0.529446
1421.15829 0.479999
1421.44255 0.580055
1421.72687 0.599754
1422.01124 0.758738
1422.29567 0.713662
1422.58016 0.58542
1422.8647 0.463188
1423.14931 0.337969
1423.43396 0.249205
1423.71868 0.483551
1424.00345 0.058907
1424.28828 0.744429
1424.57317 0.807696
1424.85811 0.623612
1425.14311 0.725604
1425.42817 0.477635
1425.71328 0.261486
1425.99845 0.379699
1426.28368 0.787807
1426.56897 0.830875
1426.85431 0.678869
1427.13971 0.579307
1427.42516 0.463721
1427.71068 0.311508
1427.99625 0.622653
1428.28188 0.261944
1428.56756 0.351325
1428.8533 0.425892
1429.1391 0.601246
1429.42496 0.838773
1429.71087 0.647284
1429.99684 0.396299
1430.28287 0.918447
1430.56896 0.935547
1430.8551 0.705935
1431.1413 0.256845
1431.42756 0.466929
1431.71387 0.213276
1432.00024 0.360366
1432.28667 0.312254
1432.57316 0.101035
1432.8597 0.536676
1433.1463 0.694505
1433.43296 0.824748
