# Obtained using Skycalc tool from ESO webpage
# Water vapour content 2.5 mm
Wave[nm] Transmission[no-units]
700 0.691038
700.255335 0.914857
700.510762 0.941818
700.766283 0.940595
701.021898 0.942236
701.277605 0.943156
701.533406 0.942724
701.7893 0.940834
702.045287 0.942905
702.301368 0.94383
702.557542 0.941587
702.813809 0.940912
703.070171 0.943048
703.326625 0.946398
703.583173 0.946951
703.839815 0.944428
704.09655 0.943587
704.353379 0.945911
704.610302 0.947291
704.867318 0.9471
705.124428 0.945737
705.381632 0.944228
705.63893 0.945597
705.896321 0.946345
706.153807 0.946703
706.411386 0.946772
706.669059 0.946722
706.926827 0.947625
707.184688 0.948236
707.442643 0.947991
707.700693 0.947631
707.958836 0.947226
708.217074 0.947836
708.475406 0.948812
708.733832 0.948745
708.992353 0.948314
709.250968 0.948698
709.509677 0.949044
709.76848 0.948978
710.027378 0.94885
710.28637 0.948926
710.545457 0.948943
710.804638 0.948923
711.063914 0.949226
711.323284 0.949619
711.582749 0.949976
711.842309 0.949793
712.101963 0.949422
712.361712 0.949782
712.621556 0.950148
712.881495 0.949893
713.141528 0.949501
713.401656 0.949669
713.661879 0.949757
713.922197 0.949515
714.18261 0.949583
714.443118 0.949601
714.703721 0.949291
714.964419 0.948175
715.225213 0.947849
715.486101 0.948757
715.747084 0.948681
716.008163 0.948227
716.269337 0.947656
716.530606 0.944817
716.79197 0.939255
717.05343 0.930677
717.314985 0.92188
717.576636 0.910593
717.838382 0.911146
718.100223 0.921084
718.36216 0.912002
718.624193 0.892556
718.886321 0.89132
719.148545 0.910657
719.410864 0.905042
719.673279 0.902244
719.93579 0.905599
720.198396 0.904838
720.461099 0.909548
720.723897 0.908748
720.986791 0.926673
721.249781 0.939094
721.512867 0.943698
721.776048 0.943951
722.039326 0.946039
722.3027 0.945801
722.56617 0.939955
722.829736 0.939912
723.093398 0.938756
723.357156 0.921482
723.621011 0.906426
723.884961 0.913997
724.149009 0.917971
724.413152 0.918817
724.677392 0.917888
724.941728 0.928036
725.20616 0.923678
725.470689 0.913042
725.735315 0.928462
726.000037 0.935029
726.264855 0.932891
726.52977 0.925467
726.794782 0.923062
727.05989 0.935294
727.325096 0.935638
727.590397 0.916294
727.855796 0.907544
728.121292 0.9262
728.386884 0.941128
728.652573 0.941395
728.918359 0.928815
729.184242 0.922187
729.450222 0.929145
729.716299 0.938213
729.982473 0.943055
730.248744 0.933797
730.515113 0.925037
730.781578 0.934223
731.048141 0.937956
731.314801 0.939828
731.581558 0.939985
731.848413 0.936979
732.115364 0.938889
732.382414 0.9463
732.64956 0.948789
732.916804 0.947863
733.184146 0.947372
733.451585 0.946802
733.719121 0.949637
733.986756 0.953156
734.254487 0.953238
734.522317 0.951989
734.790244 0.950858
735.058269 0.949985
735.326391 0.951593
735.594612 0.952195
735.86293 0.951465
736.131346 0.951133
736.39986 0.950853
736.668473 0.950431
736.937183 0.951162
737.205991 0.951611
737.474897 0.953036
737.743901 0.954459
738.013003 0.954424
738.282203 0.953677
738.551502 0.953065
738.820899 0.954621
739.090394 0.954714
739.359988 0.953943
739.629679 0.954464
739.899469 0.954402
740.169358 0.95556
740.439345 0.956434
740.70943 0.956354
740.979614 0.956096
741.249897 0.956001
741.520278 0.956457
741.790758 0.95665
742.061336 0.956855
742.332013 0.956743
742.602789 0.956595
742.873664 0.956852
743.144637 0.957265
743.41571 0.957428
743.686881 0.957448
743.958151 0.957399
744.22952 0.957341
744.500988 0.957482
744.772555 0.95764
745.044221 0.957678
745.315986 0.957661
745.58785 0.957703
745.859814 0.957745
746.131877 0.957785
746.404038 0.957884
746.6763 0.957938
746.94866 0.957942
747.22112 0.957992
747.493679 0.958068
747.766338 0.958118
748.039096 0.958163
748.311954 0.95823
748.584911 0.9583
748.857967 0.95836
749.131124 0.958414
749.40438 0.958478
749.677735 0.958552
749.95119 0.958627
750.224745 0.958692
750.4984 0.958756
750.772155 0.958834
751.046009 0.958922
751.319964 0.959008
751.594018 0.959076
751.868173 0.959139
752.142427 0.959223
752.416781 0.959307
752.691236 0.959383
752.96579 0.959457
753.240445 0.959532
753.5152 0.959607
753.790055 0.959676
754.06501 0.959743
754.340066 0.959813
754.615222 0.959884
754.890478 0.95995
755.165835 0.960013
755.441292 0.960079
755.716849 0.960143
755.992508 0.960206
756.268266 0.960267
756.544126 0.960328
756.820086 0.960388
757.096146 0.960443
757.372307 0.960496
757.648569 0.960549
757.924932 0.960597
758.201396 0.960628
758.47796 0.960588
758.754626 0.960092
759.031392 0.952276
759.308259 0.889199
759.585227 0.712147
759.862296 0.506544
760.139467 0.396402
760.416738 0.352682
760.69411 0.328854
760.971584 0.358209
761.249159 0.423151
761.526835 0.517707
761.804613 0.663127
762.082491 0.781858
762.360471 0.703786
762.638553 0.560445
762.916736 0.533899
763.19502 0.585965
763.473406 0.578038
763.751894 0.570147
764.030483 0.638223
764.309173 0.644314
764.587966 0.668775
764.86686 0.701424
765.145856 0.714779
765.424953 0.777184
765.704152 0.784962
765.983454 0.820837
766.262857 0.82763
766.542362 0.855859
766.821969 0.863775
767.101677 0.886434
767.381488 0.890331
767.661401 0.908015
767.941416 0.912386
768.221534 0.925498
768.501753 0.929728
768.782075 0.941864
769.062499 0.945887
769.343025 0.946905
769.623653 0.950946
769.904384 0.950561
770.185217 0.954376
770.466153 0.956919
770.747191 0.959738
771.028332 0.961016
771.309575 0.960305
771.590921 0.960641
771.872369 0.96091
772.153921 0.961132
772.435574 0.961292
772.717331 0.96125
772.99919 0.961593
773.281152 0.961826
773.563217 0.961899
773.845385 0.961975
774.127656 0.962054
774.41003 0.962233
774.692506 0.962292
774.975086 0.962385
775.257769 0.962419
775.540555 0.962479
775.823444 0.962512
776.106437 0.962569
776.389532 0.962606
776.672731 0.962647
776.956033 0.962678
777.239438 0.962711
777.522947 0.962734
777.80656 0.962753
778.090275 0.962789
778.374094 0.962823
778.658017 0.962858
778.942043 0.962889
779.226173 0.962912
779.510407 0.962935
779.794744 0.96299
780.079185 0.963035
780.363729 0.963065
780.648378 0.963132
780.93313 0.963193
781.217986 0.963238
781.502946 0.96329
781.78801 0.963326
782.073178 0.963352
782.35845 0.963411
782.643826 0.963483
782.929307 0.963542
783.214891 0.963596
783.500579 0.963632
783.786372 0.963619
784.072269 0.963596
784.35827 0.963701
784.644376 0.963728
784.930585 0.963665
785.2169 0.963733
785.503318 0.963777
785.789842 0.963805
786.076469 0.963871
786.363202 0.963571
786.650038 0.962929
786.93698 0.962553
787.224026 0.962647
787.511177 0.962455
787.798432 0.962016
788.085793 0.962597
788.373258 0.962804
788.660828 0.962584
788.948503 0.96178
789.236283 0.960694
789.524168 0.958935
789.812157 0.958878
790.100252 0.960422
790.388452 0.959999
790.676757 0.960899
790.965168 0.960838
791.253683 0.961425
791.542304 0.962437
791.83103 0.962133
792.119861 0.961958
792.408798 0.961039
