# Obtained using Skycalc tool from ESO webpage
# Water vapour content 2.5 mm
Wave[nm] Transmission[no-units]
1170 0.709708
1170.46401 0.928162
1170.9282 0.958862
1171.39258 0.969374
1171.85714 0.96614
1172.32189 0.960095
1172.78682 0.962447
1173.25193 0.953856
1173.71723 0.928838
1174.18272 0.927349
1174.64838 0.956048
1175.11424 0.963781
1175.58028 0.961811
1176.0465 0.973735
1176.51291 0.978628
1176.9795 0.967229
1177.44628 0.94253
1177.91324 0.935162
1178.38039 0.952744
1178.84772 0.971032
1179.31524 0.966052
1179.78294 0.953096
1180.25083 0.964327
1180.71891 0.968339
1181.18717 0.946926
1181.65561 0.913445
1182.12424 0.915657
1182.59306 0.950389
1183.06207 0.973727
1183.53126 0.976413
1184.00063 0.962749
1184.47019 0.938031
1184.93994 0.936888
1185.40988 0.962676
1185.88 0.974087
1186.3503 0.97269
1186.8208 0.97167
1187.29148 0.959245
1187.76235 0.931326
1188.2334 0.928219
1188.70464 0.947719
1189.17607 0.960688
1189.64768 0.969963
1190.11948 0.970631
1190.59147 0.97049
1191.06365 0.970709
1191.53601 0.973016
1192.00856 0.973507
1192.4813 0.976918
1192.95423 0.971337
1193.42734 0.961787
1193.90064 0.969734
1194.37413 0.975521
1194.8478 0.974305
1195.32167 0.968888
1195.79572 0.966061
1196.26996 0.970703
1196.74439 0.976417
1197.219 0.973133
1197.69381 0.965575
1198.1688 0.964397
1198.64398 0.952685
1199.11935 0.952257
1199.59491 0.965794
1200.07065 0.973025
1200.54659 0.972858
1201.02271 0.968524
1201.49903 0.962369
1201.97553 0.958165
1202.45222 0.968158
1202.9291 0.969914
1203.40617 0.94409
1203.88343 0.918274
1204.36087 0.938478
1204.83851 0.954153
1205.31634 0.965006
1205.79435 0.975131
1206.27256 0.973896
1206.75095 0.966208
1207.22954 0.961377
1207.70831 0.964144
1208.18727 0.963678
1208.66643 0.963693
1209.14577 0.962718
1209.62531 0.967883
1210.10503 0.969657
1210.58495 0.974919
1211.06505 0.970805
1211.54535 0.961913
1212.02583 0.965322
1212.50651 0.969747
1212.98738 0.976551
1213.46843 0.9776
1213.94968 0.970559
1214.43112 0.968485
1214.91275 0.968974
1215.39457 0.973374
1215.87659 0.979621
1216.35879 0.978073
1216.84119 0.975585
1217.32377 0.97908
1217.80655 0.977699
1218.28952 0.973416
1218.77268 0.970489
1219.25603 0.969261
1219.73958 0.972258
1220.22331 0.976046
1220.70724 0.979248
1221.19136 0.975758
1221.67567 0.970842
1222.16017 0.973231
1222.64487 0.97327
1223.12976 0.973762
1223.61484 0.973295
1224.10011 0.976579
1224.58557 0.979421
1225.07123 0.97933
1225.55708 0.978833
1226.04312 0.97936
1226.52936 0.977861
1227.01579 0.975397
1227.50241 0.978019
1227.98922 0.98145
1228.47623 0.982244
1228.96343 0.980687
1229.45083 0.979643
1229.93841 0.981106
1230.42619 0.982817
1230.91417 0.983246
1231.40234 0.982941
1231.8907 0.98272
1232.37925 0.982116
1232.868 0.980421
1233.35694 0.980402
1233.84608 0.982239
1234.33541 0.983044
1234.82493 0.982855
1235.31465 0.982575
1235.80456 0.982711
1236.29467 0.982462
1236.78497 0.9818
1237.27547 0.982115
1237.76616 0.982456
1238.25704 0.982332
1238.74812 0.98221
1239.2394 0.982287
1239.73087 0.982218
1240.22253 0.981821
1240.71439 0.981291
1241.20644 0.981271
1241.69869 0.981463
1242.19114 0.981454
1242.68378 0.98129
1243.17661 0.981111
1243.66964 0.980838
1244.16287 0.980538
1244.65629 0.980395
1245.14991 0.980183
1245.64372 0.980026
1246.13773 0.979668
1246.63193 0.979205
1247.12633 0.979097
1247.62093 0.978487
1248.11572 0.977612
1248.61071 0.977783
1249.1059 0.977265
1249.60128 0.976158
1250.09686 0.976408
1250.59264 0.975461
1251.08861 0.973686
1251.58478 0.974373
1252.08114 0.973198
1252.5777 0.97061
1253.07446 0.971953
1253.57142 0.970472
1254.06857 0.966845
1254.56592 0.96925
1255.06347 0.969308
1255.56121 0.964791
1256.05916 0.963855
1256.5573 0.966581
1257.05563 0.963127
1257.55417 0.956657
1258.0529 0.959568
1258.55183 0.956382
1259.05096 0.94808
1259.55028 0.950715
1260.04981 0.947232
1260.54953 0.936098
1261.04945 0.931227
