# Obtained using Skycalc tool from ESO webpage
# Water vapour content 2.5 mm
Wave[nm] Transmission[no-units]
800 0.962677
800.4001 0.961454
800.8004 0.959551
801.2009 0.965106
801.601601 0.960366
802.002502 0.964796
802.403604 0.961348
802.804906 0.96272
803.206409 0.962755
803.608112 0.962856
804.010017 0.962834
804.412122 0.963192
804.814429 0.963082
805.216937 0.966248
805.619646 0.964829
806.022556 0.965603
806.425668 0.964909
806.828982 0.9659
807.232497 0.964542
807.636215 0.966072
808.040134 0.965285
808.444255 0.965686
808.848578 0.963383
809.253103 0.96465
809.657831 0.96389
810.062761 0.962725
810.467894 0.964309
810.873229 0.961864
811.278767 0.961476
811.684508 0.959373
812.090452 0.961482
812.496598 0.957492
812.902948 0.959826
813.309501 0.952044
813.716258 0.928818
814.123218 0.947341
814.530381 0.942173
814.937748 0.934182
815.345319 0.934322
815.753093 0.928216
816.161072 0.932383
816.569255 0.863155
816.977641 0.937845
817.386232 0.929573
817.795028 0.919091
818.204027 0.910455
818.613232 0.949821
819.022641 0.903966
819.432254 0.933366
819.842073 0.928348
820.252096 0.939164
820.662325 0.965455
821.072759 0.961464
821.483398 0.955191
821.894242 0.949231
822.305292 0.956159
822.716548 0.921963
823.128009 0.843243
823.539676 0.89502
823.951548 0.957409
824.363627 0.949139
824.775912 0.948525
825.188403 0.967295
825.6011 0.958857
826.014004 0.921944
826.427115 0.955075
826.840431 0.967315
827.253955 0.953099
827.667685 0.930857
828.081623 0.934042
828.495767 0.937609
828.910119 0.931152
829.324677 0.954997
829.739443 0.934936
830.154417 0.950653
830.569598 0.933367
830.984986 0.966712
831.400583 0.956244
831.816387 0.956159
832.232399 0.915361
832.648619 0.968501
833.065048 0.95527
833.481684 0.958588
833.898529 0.962636
834.315583 0.950897
834.732845 0.968819
835.150316 0.962977
835.567995 0.963234
835.985884 0.961123
836.403981 0.962804
836.822288 0.964794
837.240804 0.968857
837.659529 0.963044
838.078463 0.966976
838.497607 0.967795
838.916961 0.965857
839.336524 0.970087
839.756297 0.966756
840.176281 0.968769
840.596474 0.967683
841.016877 0.966398
841.437491 0.97015
841.858315 0.967392
842.279349 0.969225
842.700594 0.97054
843.12205 0.968453
843.543716 0.970146
843.965593 0.968208
844.387682 0.969531
844.809981 0.970106
845.232492 0.970287
845.655214 0.970823
846.078147 0.969691
846.501292 0.970557
846.924648 0.97104
847.348217 0.970881
847.771997 0.970778
848.195989 0.969701
848.620193 0.970959
849.044609 0.970102
849.469237 0.970285
849.894078 0.970674
850.319131 0.970704
850.744397 0.970167
851.169876 0.970991
851.595567 0.968815
852.021471 0.969692
852.447589 0.970841
852.873919 0.970785
853.300463 0.970851
853.72722 0.970377
854.15419 0.96991
854.581374 0.971385
855.008771 0.970913
855.436383 0.97081
855.864208 0.971044
856.292247 0.971244
856.7205 0.971644
857.148967 0.971167
857.577649 0.971159
858.006545 0.97166
858.435656 0.971662
858.864981 0.971817
859.294521 0.971471
859.724275 0.971964
860.154245 0.972029
860.58443 0.972115
861.014829 0.972049
861.445444 0.972142
861.876275 0.972241
862.307321 0.972238
862.738582 0.972206
863.170059 0.97235
863.601752 0.972459
864.033661 0.972542
864.465786 0.972649
864.898127 0.972669
865.330684 0.972689
865.763458 0.972725
866.196448 0.972767
866.629654 0.97282
867.063077 0.972908
867.496717 0.972922
867.930574 0.973002
868.364648 0.973042
868.798939 0.9731
869.233447 0.973052
869.668172 0.973184
870.103115 0.973222
870.538275 0.973263
870.973653 0.97328
871.409249 0.973339
871.845063 0.973388
872.281094 0.973434
872.717344 0.973473
873.153812 0.973512
873.590498 0.973503
874.027402 0.973577
874.464525 0.973601
874.901867 0.973616
875.339427 0.973689
875.777206 0.973724
876.215204 0.973619
876.653421 0.973779
877.091858 0.973736
877.530513 0.973839
877.969388 0.973893
878.408483 0.973642
878.847797 0.973765
879.287331 0.973897
879.727084 0.974015
880.167058 0.973816
880.607251 0.973648
881.047665 0.974053
881.488299 0.973642
881.929153 0.974081
882.370228 0.973212
882.811524 0.974212
883.25304 0.973679
883.694777 0.9738
884.136734 0.974059
884.578913 0.974309
885.021313 0.97403
885.463935 0.973814
885.906777 0.971955
886.349842 0.974025
886.793127 0.973369
887.236635 0.974145
887.680364 0.974343
888.124315 0.971581
888.568488 0.973916
889.012884 0.974463
889.457501 0.974379
889.902341 0.973327
890.347404 0.973122
890.792689 0.973734
891.238196 0.974088
891.683927 0.974123
892.12988 0.970887
892.576057 0.974348
893.022456 0.967643
893.469079 0.962087
893.915925 0.973494
894.362995 0.963192
894.810289 0.961426
895.257806 0.953432
895.705546 0.938259
896.153511 0.965214
896.6017 0.89683
897.050113 0.956275
897.49875 0.8998
897.947612 0.960247
898.396698 0.91896
898.846008 0.876324
899.295544 0.838277
899.745304 0.96735
900.195289 0.896657
900.645499 0.920505
901.095935 0.927753
901.546595 0.930711
901.997481 0.881977
902.448593 0.926502
902.89993 0.912626
903.351493 0.944887
903.803281 0.971682
904.255296 0.96216
904.707537 0.956911
905.160004 0.962958
905.612697 0.947824
906.065616 0.962404
906.518762 0.931514
906.972135 0.921634
907.425735 0.911298
907.879561 0.950038
908.333614 0.885499
908.787895 0.899642
909.242402 0.957277
909.697137 0.926271
910.152099 0.898928
910.607289 0.941306
911.062707 0.920316
911.518352 0.970052
911.974225 0.884957
912.430326 0.969455
912.886655 0.94292
913.343213 0.89319
913.799999 0.85993
914.257013 0.965442
914.714256 0.954567
915.171727 0.952498
915.629427 0.835449
916.087357 0.946069
916.545515 0.951898
917.003902 0.946737
917.462519 0.906266
917.921365 0.905219
918.38044 0.960757
918.839745 0.929445
919.29928 0.95681
919.759045 0.930275
920.219039 0.971865
920.679264 0.967465
921.139718 0.958387
921.600403 0.947913
922.061319 0.949129
922.522465 0.962295
922.983841 0.962088
923.445449 0.961082
923.907287 0.947851
924.369356 0.953936
924.831656 0.944787
925.294188 0.951859
925.75695 0.964851
926.219945 0.949048
926.68317 0.961612
927.146628 0.965763
927.610317 0.948211
928.074238 0.895055
928.538391 0.928826
929.002777 0.920571
929.467394 0.917614
929.932244 0.865395
930.397326 0.860872
930.862641 0.831891
931.328189 0.817607
931.79397 0.677755
932.259983 0.843626
932.72623 0.638682
933.192709 0.800777
933.659422 0.670359
934.126369 0.729487
934.593549 0.452897
935.060962 0.872325
935.52861 0.643978
935.996491 0.62009
936.464606 0.903903
936.932956 0.71274
937.401539 0.601176
937.870357 0.758815
938.33941 0.682854
938.808697 0.751666
939.278219 0.917705
939.747975 0.935639
940.217967 0.828584
940.688193 0.901511
941.158655 0.781331
941.629352 0.916717
942.100284 0.835904
942.571452 0.876135
943.042856 0.598043
943.514495 0.856917
943.98637 0.784959
944.458481 0.580321
944.930829 0.881054
945.403412 0.889191
945.876232 0.710755
946.349289 0.676472
946.822581 0.877945
947.296111 0.815155
947.769878 0.813811
948.243881 0.676651
948.718122 0.87716
949.192599 0.927655
949.667314 0.726499
950.142267 0.663991
950.617456 0.817911
951.092884 0.945107
951.568549 0.904491
952.044453 0.724091
952.520594 0.761676
952.996973 0.781555
953.473591 0.927475
953.950447 0.838071
954.427541 0.828513
954.904875 0.801604
955.382446 0.869773
955.860257 0.75516
956.338307 0.897498
956.816595 0.760485
957.295123 0.861136
957.77389 0.941447
958.252897 0.788607
958.732143 0.937534
959.211629 0.770576
959.691355 0.846072
960.171321 0.877109
960.651526 0.858109
961.131972 0.89529
961.612658 0.899257
962.093585 0.903965
962.574752 0.84175
963.05616 0.885841
963.537808 0.967958
964.019698 0.836462
964.501828 0.923317
964.9842 0.8412
965.466812 0.939366
965.949666 0.936166
966.432762 0.859172
966.916099 0.921975
967.399678 0.918497
967.883499 0.976159
968.367562 0.908716
968.851867 0.967196
969.336414 0.957835
969.821203 0.97053
970.306235 0.922014
970.791509 0.975356
971.277026 0.960236
971.762786 0.931761
972.248789 0.975701
972.735035 0.930434
973.221524 0.956381
973.708257 0.912928
974.195233 0.952558
974.682452 0.918937
975.169915 0.927876
975.657622 0.936641
976.145573 0.923345
976.633768 0.913888
977.122207 0.971614
977.61089 0.961624
978.099817 0.949794
978.58899 0.937058
979.078406 0.963939
979.568068 0.916823
980.057975 0.960396
980.548126 0.93868
981.038523 0.975583
981.529165 0.96892
982.020052 0.967524
982.511185 0.967213
983.002563 0.955791
983.494187 0.966945
983.986057 0.976366
984.478173 0.966504
984.970536 0.963724
985.463144 0.97638
985.955999 0.977403
986.4491 0.979276
986.942448 0.975889
987.436043 0.97111
987.929884 0.97742
988.423973 0.979394
988.918308 0.979155
989.412891 0.979206
989.907721 0.977279
990.402799 0.97569
990.898124 0.978676
991.393697 0.979389
991.889518 0.97981
992.385586 0.978957
992.881903 0.976321
993.378468 0.979213
993.875282 0.979863
994.372344 0.979569
994.869654 0.980392
995.367213 0.97987
995.865021 0.979743
996.363078 0.980426
996.861384 0.979796
997.35994 0.98046
997.858744 0.979701
998.357799 0.980634
998.857102 0.979915
999.356656 0.979385
999.856459 0.980383
1000.35651 0.979742
1000.85682 0.980808
1001.35737 0.979805
1001.85817 0.977222
1002.35923 0.978751
1002.86053 0.980081
1003.36209 0.980887
1003.86389 0.979415
1004.36595 0.980009
1004.86826 0.980577
1005.37082 0.979934
1005.87363 0.980801
1006.37669 0.980596
1006.88001 0.980539
1007.38357 0.980421
1007.88739 0.979562
1008.39146 0.980593
1008.89578 0.979696
1009.40036 0.977941
1009.90518 0.979992
1010.41026 0.980234
1010.91559 0.980816
1011.42118 0.981017
1011.92701 0.97981
1012.43311 0.980786
1012.93945 0.981121
1013.44604 0.980811
1013.95289 0.981317
1014.46 0.980505
1014.96735 0.980773
1015.47496 0.980295
1015.98283 0.981372
1016.49095 0.981399
1016.99932 0.980747
1017.50795 0.980763
1018.01683 0.98139
1018.52596 0.981256
1019.03535 0.981457
1019.545 0.979097
1020.0549 0.981511
1020.56505 0.981013
1021.07546 0.981394
1021.58613 0.980548
1022.09705 0.981568
1022.60823 0.981573
1023.11966 0.980512
1023.63135 0.97998
1024.14329 0.980053
1024.65549 0.981643
1025.16795 0.981342
1025.68066 0.981179
1026.19363 0.981271
1026.70685 0.981693
1027.22033 0.981071
1027.73407 0.980753
1028.24807 0.981724
1028.76232 0.980889
1029.27683 0.981554
1029.7916 0.981592
1030.30662 0.981718
1030.8219 0.981605
1031.33744 0.981407
1031.85324 0.981752
1032.3693 0.981796
1032.88561 0.981801
1033.40218 0.98157
1033.91901 0.981746
1034.4361 0.981801
1034.95345 0.9818
1035.47105 0.981798
1035.98892 0.981689
1036.50704 0.981677
1037.02543 0.981547
1037.54407 0.98157
1038.06297 0.981724
1038.58213 0.981681
1039.10155 0.981691
1039.62123 0.98161
1040.14117 0.981683
1040.66138 0.981669
1041.18184 0.981607
1041.70256 0.981689
1042.22354 0.981639
1042.74478 0.981657
1043.26628 0.981633
1043.78805 0.981616
1044.31007 0.981585
1044.83236 0.981529
1045.3549 0.981461
1045.87771 0.98145
1046.40078 0.981402
1046.92411 0.981342
1047.44771 0.981271
1047.97156 0.981221
1048.49568 0.981149
1049.02006 0.980679
1049.5447 0.980219
1050.0696 0.98037
1050.59477 0.980594
1051.1202 0.980432
1051.64589 0.980191
1052.17184 0.979859
1052.69806 0.979851
1053.22454 0.979686
1053.75128 0.979498
1054.27829 0.979314
1054.80556 0.978981
1055.3331 0.978698
1055.8609 0.978338
1056.38896 0.977969
1056.91728 0.977552
1057.44588 0.977147
1057.97473 0.976691
1058.50385 0.976326
1059.03323 0.975861
1059.56288 0.975679
1060.0928 0.975367
1060.62298 0.975264
1061.15342 0.97494
1061.68413 0.974923
1062.2151 0.974341
1062.74634 0.974199
1063.27785 0.973788
1063.80962 0.973594
1064.34166 0.97338
1064.87396 0.972469
1065.40653 0.972908
1065.93937 0.972683
1066.47247 0.972949
1067.00584 0.973023
1067.53948 0.972919
1068.07338 0.972911
1068.60755 0.974388
1069.14199 0.975209
1069.6767 0.975115
1070.21167 0.97578
1070.74691 0.977393
1071.28241 0.977988
1071.81819 0.977916
1072.35423 0.977045
1072.89054 0.978875
1073.42712 0.97993
1073.96397 0.980449
1074.50109 0.975566
1075.03847 0.979789
1075.57613 0.981099
1076.11405 0.981432
1076.65224 0.981157
1077.1907 0.98054
1077.72943 0.974922
1078.26843 0.980393
1078.8077 0.982501
1079.34724 0.981866
1079.88705 0.981589
1080.42712 0.973654
1080.96747 0.981623
1081.50809 0.977269
1082.04898 0.981232
1082.59014 0.982917
1083.13157 0.983203
1083.67327 0.970952
1084.21524 0.980241
1084.75749 0.980671
1085.3 0.980837
1085.84279 0.975531
1086.38585 0.961935
1086.92917 0.979269
1087.47277 0.98164
1088.01665 0.981321
1088.56079 0.980938
1089.10521 0.976519
1089.6499 0.978389
1090.19486 0.96727
1090.74009 0.978605
1091.2856 0.983043
1091.83138 0.982879
1092.37743 0.962823
1092.92375 0.965649
1093.47035 0.980078
1094.01722 0.978931
1094.56437 0.973153
1095.11179 0.968817
1095.65948 0.969763
1096.20745 0.964105
1096.75569 0.982047
1097.3042 0.982258
1097.85299 0.956913
1098.40206 0.97507
1098.9514 0.964881
1099.50101 0.951783
1100.0509 0.962904
1100.60106 0.968217
1101.1515 0.956054
1101.70221 0.964319
1102.2532 0.956776
1102.80446 0.942788
1103.356 0.961217
1103.90782 0.974722
1104.45991 0.932256
1105.01228 0.968268
1105.56493 0.948258
1106.11785 0.932242
1106.67104 0.942999
1107.22452 0.97245
1107.77827 0.951671
1108.3323 0.916434
1108.8866 0.94129
1109.44118 0.952417
1109.99604 0.953642
1110.55118 0.900841
1111.10659 0.895594
1111.66228 0.889654
1112.21825 0.937239
1112.7745 0.888437
1113.33103 0.830801
1113.88783 0.815758
1114.44492 0.945558
1115.00228 0.734141
1115.55992 0.857059
1116.11784 0.80074
1116.67604 0.51841
1117.23451 0.728532
1117.79327 0.880192
1118.35231 0.766457
1118.91162 0.731763
1119.47122 0.670382
1120.0311 0.788026
1120.59125 0.709928
1121.15169 0.779913
1121.7124 0.745228
1122.2734 0.491857
1122.83468 0.608163
1123.39623 0.79194
1123.95807 0.620794
1124.52019 0.840965
1125.08259 0.795438
1125.64527 0.343858
1126.20824 0.669357
1126.77148 0.854448
1127.33501 0.721871
1127.89882 0.640576
1128.46291 0.76127
1129.02728 0.735948
1129.59194 0.587826
1130.15687 0.730858
1130.72209 0.898098
1131.2876 0.88357
1131.85338 0.903018
1132.41945 0.800329
1132.9858 0.84359
1133.55243 0.560732
1134.11935 0.638341
1134.68655 0.190893
1135.25404 0.557044
1135.82181 0.72512
1136.38986 0.776652
1136.9582 0.933263
1137.52682 0.77557
1138.09572 0.937357
1138.66491 0.737004
1139.23439 0.964548
1139.80415 0.751173
1140.37419 0.948006
1140.94452 0.736072
1141.51514 0.800495
1142.08604 0.830398
1142.65722 0.907055
1143.2287 0.94693
1143.80045 0.79266
1144.3725 0.6394
1144.94483 0.77842
1145.51744 0.761614
1146.09034 0.767954
1146.66353 0.668722
1147.23701 0.646708
1147.81077 0.789027
1148.38482 0.942303
1148.95915 0.756833
1149.53378 0.742477
1150.10869 0.738252
1150.68389 0.839834
1151.25937 0.823043
1151.83514 0.810148
1152.41121 0.766104
1152.98756 0.824883
1153.56419 0.846057
1154.14112 0.793922
1154.71834 0.83058
1155.29584 0.90179
1155.87363 0.802316
1156.45171 0.877326
1157.03008 0.922885
1157.60874 0.832699
1158.18769 0.933183
1158.76693 0.848034
1159.34646 0.948982
1159.92628 0.891078
1160.50639 0.845781
1161.08678 0.946819
1161.66747 0.928014
1162.24845 0.892836
1162.82972 0.974209
1163.41128 0.951806
1163.99313 0.943312
1164.57527 0.968283
1165.15771 0.919988
1165.74043 0.920829
1166.32345 0.958166
1166.90676 0.93171
1167.49035 0.963819
1168.07425 0.963054
1168.65843 0.948447
1169.2429 0.954794
1169.82767 0.980811
1170.41273 0.951632
1170.99808 0.959649
1171.58373 0.976642
1172.16967 0.949509
1172.7559 0.970528
1173.34242 0.964444
1173.92924 0.893966
1174.51635 0.961162
1175.10376 0.968399
1175.69146 0.954803
1176.27945 0.98539
1176.86774 0.978535
1177.45632 0.925355
1178.04519 0.950291
1178.63436 0.957435
1179.22383 0.983804
1179.81359 0.930839
1180.40364 0.982957
1180.99399 0.973607
1181.58464 0.900915
1182.17558 0.908793
1182.76681 0.966676
1183.35834 0.979386
1183.95017 0.976098
1184.54229 0.919954
1185.13471 0.947314
1185.72743 0.975848
1186.32044 0.973104
1186.91375 0.972001
1187.50735 0.929213
1188.10125 0.934587
1188.69545 0.955531
1189.28995 0.959699
1189.88474 0.982208
1190.47984 0.965616
1191.07522 0.961108
1191.67091 0.971352
1192.26689 0.983229
1192.86318 0.980058
1193.45976 0.945889
1194.05664 0.98531
1194.65381 0.97552
1195.25129 0.966968
1195.84907 0.965472
1196.44714 0.972296
1197.04551 0.980587
1197.64419 0.955563
1198.24316 0.978527
1198.84243 0.943145
1199.442 0.957298
1200.04187 0.974351
1200.64204 0.964491
1201.24251 0.971356
1201.84328 0.94993
1202.44436 0.977959
1203.04573 0.975373
1203.6474 0.894685
1204.24938 0.954787
1204.85165 0.942596
1205.45423 0.980183
1206.05711 0.981684
1206.66029 0.965628
1207.26377 0.952067
1207.86755 0.96753
1208.47163 0.969096
1209.07602 0.953561
1209.68071 0.966653
1210.2857 0.978677
1210.891 0.981272
1211.49659 0.951276
1212.10249 0.965682
1212.7087 0.977579
1213.3152 0.981627
1213.92201 0.967098
1214.52912 0.972638
1215.13654 0.968721
1215.74426 0.977332
1216.35228 0.979851
1216.96061 0.972316
1217.56924 0.985673
1218.17818 0.968613
1218.78742 0.971897
1219.39697 0.967715
1220.00682 0.977612
1220.61698 0.977783
1221.22744 0.975722
1221.8382 0.97003
1222.44928 0.970781
1223.06065 0.978504
1223.67234 0.970824
1224.28432 0.976552
1224.89662 0.982217
1225.50922 0.977671
1226.12213 0.981305
1226.73534 0.978098
1227.34886 0.972136
1227.96269 0.982543
1228.57683 0.983115
1229.19127 0.981678
1229.80602 0.977964
1230.42108 0.982838
1231.03644 0.982853
1231.65211 0.982622
1232.26809 0.98388
1232.88438 0.979877
1233.50098 0.980054
1234.11788 0.983403
1234.73509 0.982924
1235.35262 0.982347
1235.97045 0.982945
1236.58859 0.981645
1237.20704 0.982163
1237.82579 0.982448
1238.44486 0.982125
1239.06424 0.98247
1239.68393 0.982293
1240.30392 0.981843
1240.92423 0.980788
1241.54485 0.98169
1242.16577 0.981493
1242.78701 0.981227
1243.40856 0.981073
1244.03042 0.980421
1244.65259 0.980624
1245.27507 0.98
1245.89787 0.980048
1246.52097 0.978928
1247.14439 0.979409
1247.76812 0.979002
1248.39216 0.976653
1249.01651 0.978213
1249.64117 0.975035
1250.26615 0.977276
1250.89144 0.971927
1251.51704 0.976092
1252.14296 0.975654
1252.76918 0.967295
1253.39573 0.974338
1254.02258 0.962332
1254.64975 0.972707
1255.27723 0.971706
1255.90503 0.956076
1256.53314 0.969873
1257.16156 0.950759
1257.7903 0.966596
1258.41935 0.964017
1259.04872 0.939674
1259.6784 0.955987
1260.30839 0.949146
1260.93871 0.917654
1261.56933 0.929552
1262.20028 0.930813
1262.83153 0.897321
1263.46311 0.901471
1264.095 0.87273
1264.7272 0.92096
1265.35972 0.913893
1265.99256 0.871019
1266.62572 0.893079
1267.25919 0.935894
1267.89298 0.917788
1268.52708 0.714657
1269.1615 0.776107
1269.79624 0.889276
1270.4313 0.917283
1271.06667 0.938918
1271.70237 0.930648
1272.33838 0.940152
1272.9747 0.918545
1273.61135 0.942337
1274.24832 0.938094
1274.8856 0.933942
1275.5232 0.968736
1276.16112 0.931904
1276.79936 0.96797
1277.43792 0.954752
1278.0768 0.966809
1278.716 0.959711
1279.35552 0.969966
1279.99535 0.971951
1280.63551 0.964746
1281.27599 0.977209
1281.91679 0.978522
1282.55791 0.972738
1283.19935 0.979504
1283.84111 0.981646
1284.48319 0.974278
1285.12559 0.982223
1285.76831 0.983126
1286.41136 0.979478
1287.05472 0.98069
1287.69841 0.98423
1288.34242 0.977603
1288.98676 0.974992
1289.63141 0.982959
1290.27639 0.981864
1290.92169 0.983792
1291.56731 0.977296
1292.21325 0.980411
1292.85952 0.979861
1293.50611 0.9857
1294.15303 0.981227
1294.80027 0.981733
1295.44783 0.971463
1296.09571 0.98148
1296.74392 0.976421
1297.39246 0.962484
1298.04132 0.97996
1298.6905 0.986796
1299.34001 0.970687
1299.98984 0.977921
1300.64 0.959256
1301.29048 0.965577
1301.94129 0.986382
1302.59242 0.960652
1303.24388 0.961684
1303.89566 0.9674
1304.54778 0.927982
1305.20021 0.985068
1305.85298 0.972239
1306.50607 0.928812
1307.15948 0.955327
1307.81323 0.940717
1308.4673 0.975185
1309.12169 0.979939
1309.77642 0.903283
1310.43147 0.926096
1311.08685 0.97426
1311.74256 0.986843
1312.39859 0.941935
1313.05495 0.934507
1313.71165 0.880944
1314.36867 0.949568
1315.02601 0.937562
1315.68369 0.926376
1316.3417 0.979114
1317.00003 0.903654
1317.6587 0.983332
1318.31769 0.920018
1318.97702 0.927104
1319.63667 0.923727
1320.29665 0.835788
1320.95697 0.971028
1321.61761 0.915705
1322.27858 0.936699
1322.93989 0.85865
1323.60152 0.963738
1324.26349 0.871486
1324.92579 0.980926
1325.58842 0.916216
1326.25138 0.952982
1326.91467 0.89108
1327.57829 0.931956
1328.24225 0.872863
1328.90653 0.821312
1329.57115 0.919721
1330.2361 0.880538
1330.90139 0.863183
1331.56701 0.753615
1332.23296 0.758477
1332.89924 0.90769
1333.56586 0.806468
1334.2328 0.886816
1334.90009 0.864541
1335.56771 0.945023
1336.23566 0.759438
1336.90394 0.864122
1337.57256 0.839284
1338.24151 0.856709
1338.9108 0.875184
1339.58042 0.879467
1340.25038 0.671924
1340.92067 0.91986
1341.5913 0.768704
1342.26227 0.946727
1342.93356 0.829306
1343.6052 0.82385
1344.27717 0.555111
1344.94948 0.777982
1345.62212 0.691248
1346.2951 0.675367
1346.96841 0.794782
1347.64207 0.398008
1348.31606 0.412297
1348.99038 0.530876
1349.66505 0.736768
1350.34005 0.349981
1351.01539 0.530555
1351.69106 0.248366
1352.36708 0.467507
1353.04343 0.324735
1353.72012 0.418487
1354.39715 0.106489
1355.07452 0.102063
1355.75223 0.148104
1356.43027 0.359574
1357.10866 0.200655
1357.78738 0.170801
1358.46644 0.126599
1359.14585 0.160405
1359.82559 0.123562
1360.50567 0.111216
1361.1861 0.030753
1361.86686 0.00381445
1362.54796 0.00603967
1363.22941 0.237028
1363.91119 0.16368
1364.59332 0.0151781
1365.27579 0.0314795
1365.95859 0.262288
1366.64174 0.178346
1367.32524 0.09175
1368.00907 0.0191345
1368.69324 0.0359564
1369.37776 0.237002
1370.06262 0.0873056
1370.74783 0.0778672
1371.43337 0.0752629
1372.11926 0.067058
1372.80549 0.185069
1373.49206 0.255562
1374.17898 0.209186
1374.86624 0.152964
1375.55385 0.444033
1376.2418 0.213876
1376.93009 0.110432
1377.61873 0.545918
1378.30771 0.242999
1378.99703 0.126963
